DISTRICT,DD000A001219R,DD000A001319R,DD000A001S19R,DD200A001219R,DD200A001319R,DD200A001S19R,DD300A001219R,DD300A001319R,DD300A001S19R,DD400A001219R,DD400A001319R,DD400A001S19R,DDA00A001219R,DDA00A001319R,DDA00A001S19R,DDB00A001219R,DDB00A001319R,DDB00A001S19R,DDE00A001219R,DDE00A001319R,DDE00A001S19R,DDF00A001219R,DDF00A001319R,DDF00A001S19R,DDH00A001219R,DDH00A001319R,DDH00A001S19R,DDI00A001219R,DDI00A001319R,DDI00A001S19R,DDL00A001219R,DDL00A001319R,DDL00A001S19R,DDM00A001219R,DDM00A001319R,DDM00A001S19R,DDR00A001219R,DDR00A001319R,DDR00A001S19R,DDS00A001219R,DDS00A001319R,DDS00A001S19R,DDW00A001219R,DDW00A001319R,DDW00A001S19R,DNC00A001219R,DNC00A001319R,DNC00A001S19R,DNM00A001219R,DNM00A001319R,DNM00A001S19R,DNS00A001219R,DNS00A001319R,DNS00A001S19R
'170801,60,31,88,23,23,85,-1,-1,-1,.,.,.,58,30,85,51,28,80,58,30,85,60,33,85,66,32,90,.,.,.,57,28,86,56,27,86,54,28,84,42,20,73,50,17,83,63,29,88,53,31,83,63,25,63
'170902,39,16,73,71,45,89,87,66,96,57,28,84,62,35,85,47,20,76,43,17,74,64,36,88,51,24,80,56,29,80,27,9,63,60,33,83,32,10,68,26,8,47,71,42,90,64,36,86,57,31,82,59,33,85
'170903,39,15,74,57,31,79,79,37,94,11,11,67,64,32,88,38,15,69,45,17,77,64,32,89,53,24,82,33,8,70,21,5,52,63,32,86,33,9,71,31,14,55,67,34,90,65,33,89,60,30,85,64,24,91
'170904,30,10,67,44,17,78,72,58,93,-1,-1,-1,45,19,76,29,9,63,38,14,71,48,20,80,39,15,73,36,14,64,21,6,59,43,19,73,24,7,61,23,7,40,52,24,80,47,20,78,41,18,73,37,14,68
'170906,28,10,63,52,26,76,76,55,90,50,0,67,52,26,79,36,12,68,39,15,70,54,26,81,41,17,72,35,18,69,19,6,55,51,25,77,27,7,62,24,8,42,60,32,84,53,26,80,50,24,78,45,22,82
'170907,26,9,62,49,25,70,60,10,90,.,.,.,34,13,67,17,7,52,30,11,63,36,13,71,32,12,66,0,0,100,21,6,58,33,12,62,19,4,54,23,13,42,36,13,67,34,13,67,34,13,66,28,9,62
'170908,32,12,66,52,25,79,72,40,93,43,7,66,42,18,73,43,16,79,37,14,69,46,20,77,39,15,71,34,15,64,22,7,57,39,16,70,30,9,65,17,6,36,48,21,76,43,18,74,41,17,72,28,12,57
'171901,34,11,70,50,13,73,46,19,78,-1,-1,-1,45,17,77,31,8,70,39,14,74,46,17,79,42,15,76,40,17,80,24,6,62,43,17,76,29,7,68,20,5,46,58,27,86,46,17,79,36,15,69,48,21,84
'171902,39,14,74,100,57,100,.,.,.,.,.,.,49,19,81,43,14,86,39,15,76,50,21,83,46,18,78,-1,-1,-1,17,2,65,47,16,79,22,4,63,21,9,40,51,19,84,49,20,81,46,14,81,29,21,71
'172902,35,13,65,28,17,67,75,25,100,.,.,.,37,14,69,28,9,59,35,13,67,40,15,73,42,15,73,57,57,71,34,13,62,33,12,65,20,6,54,18,10,34,45,17,78,37,14,70,35,13,67,24,6,62
