DISTRICT,DD000A001223R,DD000A001323R,DD000A001S23R,DD200A001223R,DD200A001323R,DD200A001S23R,DD300A001223R,DD300A001323R,DD300A001S23R,DD400A001223R,DD400A001323R,DD400A001S23R,DDA00A001223R,DDA00A001323R,DDA00A001S23R,DDB00A001223R,DDB00A001323R,DDB00A001S23R,DDE00A001223R,DDE00A001323R,DDE00A001S23R,DDF00A001223R,DDF00A001323R,DDF00A001S23R,DDH00A001223R,DDH00A001323R,DDH00A001S23R,DDI00A001223R,DDI00A001323R,DDI00A001S23R,DDL00A001223R,DDL00A001323R,DDL00A001S23R,DDM00A001223R,DDM00A001323R,DDM00A001S23R,DDR00A001223R,DDR00A001323R,DDR00A001S23R,DDS00A001223R,DDS00A001323R,DDS00A001S23R,DDW00A001223R,DDW00A001323R,DDW00A001S23R,DISTNAME,DNC00A001223R,DNC00A001323R,DNC00A001S23R,DNM00A001223R,DNM00A001323R,DNM00A001S23R,DNS00A001223R,DNS00A001323R,DNS00A001S23R
"'122901",16,5,78,50,0,100,.,.,.,-1,-1,-1,44,10,79,.,.,.,31,5,70,48,15,82,38,5,77,.,.,.,14,0,72,39,5,76,19,0,72,16,0,50,57,23,82,"FT DAVIS ISD",43,8,80,46,16,77,50,0,100
"'122902",-1,-1,-1,.,.,.,.,.,.,.,.,.,60,20,86,.,.,.,48,12,88,53,22,86,52,17,79,.,.,.,-1,-1,-1,68,18,85,30,0,65,43,0,86,71,25,96,"VALENTINE ISD",65,26,90,56,15,82,.,.,.
"'123803",.,.,.,79,21,93,.,.,.,.,.,.,50,13,78,46,10,75,48,12,77,56,14,81,75,25,100,-1,-1,-1,.,.,.,45,11,75,48,10,79,10,3,38,.,.,.,"TEKOA ACADEMY OF ACCELERATED STUDIES STEM SCHOOL",49,14,73,51,11,83,37,11,68
"'123805",45,14,80,83,83,100,-1,-1,-1,.,.,.,48,17,80,38,11,78,46,16,79,49,17,82,48,16,80,.,.,.,43,13,79,47,16,77,39,12,75,9,1,40,76,38,83,"EHRHART SCHOOL",50,18,79,43,14,82,-1,-1,-1
"'123807",49,17,81,39,13,74,45,27,82,.,.,.,52,18,81,33,10,65,52,18,81,52,19,82,54,19,83,50,33,100,45,14,79,51,18,79,42,12,76,20,6,45,59,18,73,"BOB HOPE SCHOOL",56,20,84,48,17,77,47,10,69
"'123905",45,16,76,54,18,84,77,46,93,75,0,100,60,26,85,45,15,76,50,18,79,62,26,87,54,20,82,33,21,67,40,12,74,59,25,83,38,9,72,27,7,57,64,28,87,"NEDERLAND ISD",64,28,87,49,19,78,58,19,88
"'123907",27,7,60,45,18,91,55,24,84,-1,-1,-1,29,8,61,24,5,55,29,8,61,30,7,63,32,9,65,24,5,54,23,5,57,29,8,59,22,5,56,22,7,40,40,15,67,"PORT ARTHUR ISD",31,8,62,25,6,58,19,7,47
"'123908",32,8,69,57,21,82,67,26,90,.,.,.,51,17,81,27,7,63,42,12,74,52,17,82,44,12,78,27,0,82,27,4,65,50,17,80,28,5,67,25,8,46,55,19,83,"PORT NECHES-GROVES ISD",54,18,83,41,13,72,48,18,80
"'123910",21,5,53,43,13,69,74,44,90,52,32,92,28,8,58,21,5,51,23,5,52,30,8,60,31,8,62,50,20,73,20,4,52,27,8,55,19,5,49,24,6,37,59,24,83,"BEAUMONT ISD",28,8,58,28,8,57,19,5,48
"'123913",34,0,62,-1,-1,-1,93,64,100,.,.,.,64,27,87,63,28,89,62,26,87,62,27,88,66,28,86,.,.,.,33,0,59,65,28,87,48,0,83,15,8,38,57,23,87,"SABINE PASS ISD",63,27,88,64,28,85,38,8,92
