DISTRICT,DD000A001221R,DD000A001321R,DD000A001S21R,DD200A001221R,DD200A001321R,DD200A001S21R,DD300A001221R,DD300A001321R,DD300A001S21R,DD400A001221R,DD400A001321R,DD400A001S21R,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDB00A001221R,DDB00A001321R,DDB00A001S21R,DDE00A001221R,DDE00A001321R,DDE00A001S21R,DDF00A001221R,DDF00A001321R,DDF00A001S21R,DDH00A001221R,DDH00A001321R,DDH00A001S21R,DDI00A001221R,DDI00A001321R,DDI00A001S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDM00A001221R,DDM00A001321R,DDM00A001S21R,DDR00A001221R,DDR00A001321R,DDR00A001S21R,DDS00A001221R,DDS00A001321R,DDS00A001S21R,DDW00A001221R,DDW00A001321R,DDW00A001S21R,DISTNAME,DNC00A001221R,DNC00A001321R,DNC00A001S21R,DNM00A001221R,DNM00A001321R,DNM00A001S21R,DNS00A001221R,DNS00A001321R,DNS00A001S21R
"'001902",20,0,80,57,30,80,50,0,83,.,.,.,60,30,85,31,10,59,49,21,79,62,32,86,50,24,87,.,.,.,20,0,80,59,28,83,34,9,69,20,4,43,63,31,85,"CAYUGA ISD",61,30,85,58,28,84,63,22,96
"'001903",37,19,73,48,21,75,-1,-1,-1,.,.,.,54,25,83,21,4,49,42,15,75,56,25,86,53,27,80,100,40,100,23,13,58,53,25,80,24,6,62,15,4,39,56,26,85,"ELKHART ISD",56,25,84,51,26,82,67,39,89
"'001904",26,15,59,38,23,60,17,6,72,.,.,.,52,23,79,34,6,63,43,18,74,52,23,80,44,20,72,-1,-1,-1,25,16,57,52,24,78,24,8,55,22,4,43,57,27,83,"FRANKSTON ISD",55,24,79,46,21,77,53,40,67
"'001906",50,6,94,57,14,86,-1,-1,-1,.,.,.,53,23,83,41,23,68,48,14,81,61,27,86,58,23,88,-1,-1,-1,50,6,94,45,19,81,34,2,73,26,6,71,54,24,85,"NECHES ISD",55,23,86,48,22,77,0,0,33
"'001907",29,10,61,40,17,60,70,43,92,-1,-1,-1,38,16,66,24,7,52,34,13,63,39,16,67,38,14,68,56,22,72,21,7,54,37,16,65,21,6,51,21,7,37,51,26,76,"PALESTINE ISD",38,16,67,38,17,63,43,13,76
"'001908",11,1,39,30,9,61,-1,-1,-1,.,.,.,32,11,60,24,9,50,27,9,55,32,11,62,30,9,58,38,25,50,11,1,39,31,11,59,17,4,46,16,5,34,36,12,65,"WESTWOOD ISD",32,11,62,30,11,55,36,4,64
"'001909",33,33,83,38,4,71,-1,-1,-1,.,.,.,49,20,81,-1,-1,-1,37,13,73,50,21,84,47,17,78,.,.,.,-1,-1,-1,48,18,79,29,4,68,13,0,44,50,21,82,"SLOCUM ISD",48,20,82,51,18,80,43,22,83
"'002901",24,7,56,61,32,86,80,55,100,.,.,.,42,17,71,28,8,62,31,11,62,43,18,72,37,14,66,62,35,77,16,5,45,41,17,70,23,7,53,18,7,37,53,25,80,"ANDREWS ISD",43,18,71,40,16,69,35,14,65
"'003801",23,5,63,38,16,63,90,60,100,-1,-1,-1,49,24,75,31,9,57,40,16,70,52,26,79,40,17,73,100,80,100,13,1,55,45,21,71,22,5,55,15,8,38,60,32,82,"PINEYWOODS COMMUNITY ACADEMY",45,21,72,60,31,82,62,31,88
"'003902",45,15,77,49,20,83,76,58,97,.,.,.,58,28,84,34,10,72,45,17,76,59,28,85,53,22,80,24,0,48,31,10,68,58,29,83,39,11,72,23,9,49,64,33,88,"HUDSON ISD",60,30,86,53,24,81,49,32,88
"'003903",34,13,65,42,21,68,75,58,93,-1,-1,-1,42,19,68,29,12,56,37,15,65,45,20,71,41,17,70,79,57,93,23,8,55,40,18,66,25,8,56,27,13,44,60,31,81,"LUFKIN ISD",44,20,70,35,15,62,38,17,58
"'003904",18,8,68,31,10,69,-1,-1,-1,-1,-1,-1,44,19,73,33,12,60,37,15,67,47,21,76,41,17,74,29,14,86,18,8,68,41,16,69,21,6,54,13,3,35,45,20,73,"HUNTINGTON ISD",46,20,74,39,14,70,49,0,80
"'003905",32,12,67,19,6,66,91,64,100,.,.,.,41,16,72,31,11,58,41,16,72,40,16,72,38,14,70,.,.,.,24,6,60,43,17,72,27,7,59,20,5,41,52,22,82,"DIBOLL ISD",43,17,73,36,14,67,33,6,60
"'003906",.,.,.,58,42,63,.,.,.,.,.,.,38,14,68,-1,-1,-1,32,12,64,45,19,71,40,12,60,.,.,.,.,.,.,33,10,65,20,5,50,24,11,34,38,13,69,"ZAVALLA ISD",39,15,69,36,10,65,11,0,78
"'003907",23,6,59,40,17,68,.,.,.,-1,-1,-1,43,17,72,27,8,59,36,13,67,45,18,75,40,15,69,.,.,.,15,4,49,41,17,69,21,6,50,18,5,38,45,19,74,"CENTRAL ISD",45,19,74,38,13,68,30,14,77
"'004901",14,5,39,36,15,70,65,38,84,36,9,55,33,13,60,26,7,55,26,9,52,33,13,60,25,8,52,55,18,73,8,4,29,34,13,59,17,5,42,14,4,24,39,17,65,"ARANSAS COUNTY ISD",35,14,62,31,12,56,26,7,60
"'005901",68,23,95,44,32,88,.,.,.,.,.,.,61,31,87,33,0,100,54,22,84,62,29,89,54,18,84,50,20,80,40,0,90,61,33,86,43,19,75,7,1,47,64,34,88,"ARCHER CITY ISD",61,32,86,63,27,90,67,25,100
"'005902",60,20,90,62,30,78,.,.,.,.,.,.,59,27,84,50,17,83,36,13,65,59,25,84,57,16,84,67,33,83,40,0,80,59,28,84,29,6,61,7,3,31,59,28,84,"HOLLIDAY ISD",58,25,84,63,30,84,12,0,59
"'005904",32,9,53,.,.,.,.,.,.,.,.,.,64,30,85,.,.,.,46,16,69,63,28,85,47,16,68,-1,-1,-1,21,5,40,64,31,84,29,9,57,20,2,44,70,36,92,"WINDTHORST ISD",66,31,88,49,21,63,50,21,93
"'006902",25,0,63,50,28,83,.,.,.,.,.,.,61,33,88,.,.,.,46,21,81,61,34,88,54,22,86,-1,-1,-1,25,0,63,60,31,88,37,13,75,26,6,65,63,36,89,"CLAUDE ISD",62,35,88,58,26,86,75,63,100
"'007901",19,9,47,.,.,.,.,.,.,.,.,.,34,15,63,.,.,.,29,13,57,36,13,69,31,12,61,.,.,.,17,10,42,31,17,58,23,10,55,21,8,38,58,36,81,"CHARLOTTE ISD",33,15,63,34,16,65,14,0,14
"'007902",46,17,70,61,42,87,33,17,100,.,.,.,45,21,74,33,8,58,35,14,67,46,22,74,38,16,70,.,.,.,32,7,62,44,20,74,22,6,55,18,7,42,57,30,81,"JOURDANTON ISD",46,22,75,43,19,70,34,28,63
"'007904",20,6,51,27,13,100,-1,-1,-1,0,0,56,28,8,61,8,4,29,21,6,54,30,9,63,26,8,58,.,.,.,15,4,46,26,8,58,13,3,45,7,1,17,39,10,73,"LYTLE ISD",30,9,63,22,6,56,10,2,49
"'007905",30,9,60,76,31,93,81,45,94,.,.,.,39,16,66,21,17,79,30,11,59,41,17,69,34,13,62,58,26,84,29,9,60,36,15,63,20,5,50,23,9,37,50,23,75,"PLEASANTON ISD",40,16,66,35,14,65,35,12,55
"'007906",30,13,61,19,6,38,-1,-1,-1,.,.,.,30,10,58,0,0,0,23,7,51,32,11,63,28,9,58,-1,-1,-1,25,10,57,28,9,54,15,3,42,26,8,33,43,16,69,"POTEET ISD",30,10,60,29,9,54,27,9,45
"'008901",16,4,47,45,13,64,60,40,70,.,.,.,42,17,69,8,1,27,25,7,52,45,19,72,30,10,59,21,21,50,10,3,35,39,15,65,15,3,43,12,4,24,54,24,80,"BELLVILLE ISD",44,18,70,35,13,64,32,12,65
"'008902",16,4,47,43,21,65,31,11,71,.,.,.,41,17,70,24,5,55,30,10,62,42,17,73,35,13,66,67,50,67,15,4,45,40,17,67,17,4,52,19,7,38,54,25,80,"SEALY ISD",43,18,70,35,14,67,39,14,79
"'008903",38,16,70,70,25,95,100,100,100,.,.,.,52,23,79,36,5,67,44,19,73,52,22,83,46,20,74,.,.,.,32,14,62,51,24,75,34,14,64,25,10,48,61,30,85,"BRAZOS ISD",54,24,81,44,21,73,20,20,60
"'009901",20,8,50,43,0,86,100,75,100,.,.,.,34,14,62,14,14,14,31,11,59,35,14,64,30,11,59,-1,-1,-1,15,6,45,34,14,60,14,5,43,22,7,38,59,33,82,"MULESHOE ISD",35,14,64,28,14,51,19,5,33
"'010901",50,10,90,-1,-1,-1,.,.,.,.,.,.,42,15,77,-1,-1,-1,37,11,72,43,16,77,37,12,75,.,.,.,50,10,90,42,13,76,36,6,71,20,9,47,45,16,78,"MEDINA ISD",47,17,83,35,11,68,56,19,88
"'010902",19,7,45,45,19,70,60,40,80,-1,-1,-1,38,16,65,17,0,25,27,10,53,41,18,68,29,11,57,40,0,60,18,6,42,35,14,61,16,4,44,14,6,29,42,19,69,"BANDERA ISD",38,17,65,37,15,64,34,11,53
"'011901",16,4,40,35,17,58,60,34,87,7,7,40,29,11,53,21,5,44,24,8,48,30,10,55,24,8,48,22,13,43,11,3,33,28,11,52,16,4,40,10,2,20,48,21,73,"BASTROP ISD",30,11,55,25,9,49,24,9,52
"'011902",15,4,39,30,9,57,7,0,50,0,0,33,25,7,50,22,6,46,20,5,44,27,8,53,22,6,47,-1,-1,-1,11,3,33,22,7,47,14,3,39,20,3,29,41,16,68,"ELGIN ISD",25,8,50,23,6,48,20,5,41
"'011904",30,10,53,28,10,54,65,35,87,.,.,.,44,18,69,28,8,52,35,12,60,47,19,73,38,14,63,-1,-1,-1,20,6,41,40,17,66,17,3,43,24,7,39,50,22,76,"SMITHVILLE ISD",45,19,72,40,14,64,28,16,50
"'011905",10,4,44,60,0,100,.,.,.,-1,-1,-1,37,14,68,-1,-1,-1,22,7,57,45,17,77,23,6,58,.,.,.,6,3,34,30,12,60,14,3,46,25,14,39,54,24,80,"MCDADE ISD",32,11,68,48,21,69,57,14,86
"'012901",70,50,70,40,17,67,-1,-1,-1,.,.,.,54,25,81,50,17,75,44,18,74,59,30,86,46,23,75,.,.,.,40,20,40,49,21,77,32,9,68,24,8,46,58,27,85,"SEYMOUR ISD",55,25,83,50,26,77,41,24,76
"'013801",44,11,44,17,8,92,40,0,70,.,.,.,29,12,67,-1,-1,-1,28,11,65,32,14,66,27,10,64,.,.,.,29,0,29,27,11,68,19,5,59,22,11,54,44,26,77,"ST MARY'S ACADEMY CHARTER SCHOOL",30,12,68,29,13,62,20,7,53
"'013901",21,8,54,50,26,76,27,9,64,-1,-1,-1,32,11,63,29,10,52,28,9,60,34,11,66,30,10,61,13,0,63,18,6,51,31,10,60,18,3,48,16,3,32,45,19,77,"BEEVILLE ISD",31,10,61,36,13,69,34,9,61
"'013902",44,11,89,-1,-1,-1,.,.,.,.,.,.,28,15,62,.,.,.,23,11,56,29,15,61,27,15,61,.,.,.,0,0,80,28,15,63,4,1,47,24,24,38,34,16,62,"PAWNEE ISD",33,20,67,22,7,55,18,18,82
