DISTRICT,DD000A001221R,DD000A001321R,DD000A001S21R,DD200A001221R,DD200A001321R,DD200A001S21R,DD300A001221R,DD300A001321R,DD300A001S21R,DD400A001221R,DD400A001321R,DD400A001S21R,DDA00A001221R,DDA00A001321R,DDA00A001S21R,DDB00A001221R,DDB00A001321R,DDB00A001S21R,DDE00A001221R,DDE00A001321R,DDE00A001S21R,DDF00A001221R,DDF00A001321R,DDF00A001S21R,DDH00A001221R,DDH00A001321R,DDH00A001S21R,DDI00A001221R,DDI00A001321R,DDI00A001S21R,DDL00A001221R,DDL00A001321R,DDL00A001S21R,DDM00A001221R,DDM00A001321R,DDM00A001S21R,DDR00A001221R,DDR00A001321R,DDR00A001S21R,DDS00A001221R,DDS00A001321R,DDS00A001S21R,DDW00A001221R,DDW00A001321R,DDW00A001S21R,DISTNAME,DNC00A001221R,DNC00A001321R,DNC00A001S21R,DNM00A001221R,DNM00A001321R,DNM00A001S21R,DNS00A001221R,DNS00A001321R,DNS00A001S21R
"'013903",38,0,62,-1,-1,-1,.,.,.,.,.,.,33,11,65,-1,-1,-1,29,8,63,29,13,62,30,8,64,-1,-1,-1,0,0,17,36,9,69,24,5,55,23,3,40,41,18,70,"PETTUS ISD",34,12,65,30,8,66,42,16,63
"'013905",28,19,38,43,14,100,63,44,100,-1,-1,-1,42,17,74,63,38,88,38,15,69,42,17,75,39,14,70,-1,-1,-1,12,8,23,41,17,72,25,8,59,25,10,40,48,23,80,"SKIDMORE-TYNAN ISD",42,16,73,43,19,76,33,10,73
"'014801",5,0,23,21,0,42,0,0,13,0,0,30,12,2,36,10,1,32,12,2,37,13,1,39,10,1,35,-1,-1,-1,2,0,18,10,2,33,11,2,36,4,1,16,21,4,47,"RICHARD MILBURN ALTER HIGH SCHOOL",6,0,29,12,2,36,4,0,32
"'014803",23,6,40,31,17,55,27,15,54,15,7,37,33,14,61,31,13,51,29,11,53,32,12,62,31,12,58,17,17,17,19,4,35,34,16,59,22,5,46,18,8,39,38,17,71,"PRIORITY CHARTER SCHOOLS",37,15,63,30,13,59,17,0,50
"'014804",40,19,60,64,33,91,71,40,94,-1,-1,-1,57,26,86,50,21,84,42,16,73,58,26,87,55,20,81,20,20,40,28,10,50,57,25,85,38,13,73,24,10,57,57,26,87,"ORENDA CHARTER SCHOOL",60,28,87,55,23,84,50,17,79
"'014901",32,12,66,33,15,70,67,27,87,36,14,50,45,19,75,31,9,66,33,12,67,49,19,79,39,14,69,82,27,91,29,10,62,42,18,71,25,8,56,17,3,40,48,21,77,"ACADEMY ISD",47,20,77,41,16,71,47,22,78
"'014902",8,0,38,14,0,50,-1,-1,-1,.,.,.,22,6,52,22,7,63,19,5,49,25,7,54,17,5,48,-1,-1,-1,8,0,38,20,6,51,12,2,40,21,4,30,38,12,61,"BARTLETT ISD",23,7,55,19,5,45,9,0,45
"'014903",23,7,51,45,20,73,74,47,92,54,18,89,45,20,72,31,11,57,30,10,57,47,20,74,36,13,64,44,19,61,14,5,40,44,20,69,22,7,51,27,11,43,52,24,78,"BELTON ISD",47,21,73,43,18,70,41,16,71
"'014905",42,7,65,27,5,68,.,.,.,.,.,.,55,23,83,28,11,56,46,20,76,55,22,84,52,17,81,-1,-1,-1,26,0,52,55,25,81,31,11,64,13,2,40,58,27,84,"HOLLAND ISD",56,23,83,52,25,82,40,0,80
"'014906",29,11,58,42,17,72,61,30,86,37,14,68,37,14,66,29,9,58,29,10,58,38,15,68,36,14,65,31,10,66,23,8,52,36,14,64,22,6,52,22,8,39,48,22,75,"KILLEEN ISD",38,14,67,35,14,64,33,14,68
"'014907",12,5,56,50,27,77,-1,-1,-1,.,.,.,45,20,74,47,0,60,36,16,68,46,22,76,31,13,64,-1,-1,-1,6,2,47,44,19,73,17,4,53,17,6,39,52,24,79,"ROGERS ISD",48,22,76,38,15,69,46,27,85
"'014908",17,7,51,41,15,82,45,45,55,-1,-1,-1,50,23,79,28,8,85,29,10,61,53,25,81,35,13,68,0,0,40,5,1,38,47,21,76,14,3,50,17,3,39,56,27,82,"SALADO ISD",51,22,80,49,24,76,32,11,68
"'014909",25,9,52,34,14,59,68,45,89,53,26,79,33,14,60,24,8,50,28,11,56,35,14,63,32,12,59,36,15,61,19,6,47,32,13,57,20,6,47,21,9,34,47,22,71,"TEMPLE ISD",34,14,60,31,12,58,34,16,59
"'014910",28,8,63,36,19,69,100,60,100,40,10,90,48,20,77,39,20,66,35,14,68,48,20,79,42,15,75,67,0,83,22,5,58,47,21,76,28,7,62,21,10,44,51,23,79,"TROY ISD",50,21,80,40,17,70,41,17,83
"'015801",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,14,1,43,0,0,67,15,1,41,20,1,45,15,1,42,.,.,.,-1,-1,-1,7,1,41,12,1,40,0,0,4,20,0,60,"POR VIDA ACADEMY",0,0,50,14,1,43,-1,-1,-1
"'015802",37,16,68,11,11,78,.,.,.,.,.,.,23,6,55,16,2,45,23,6,55,19,3,52,30,9,63,.,.,.,37,16,68,28,9,57,23,6,54,13,1,32,44,6,88,"GEORGE GERVIN ACADEMY",25,5,60,21,6,48,10,0,40
"'015805",17,7,51,.,.,.,.,.,.,.,.,.,32,10,61,-1,-1,-1,30,9,58,35,12,64,31,9,60,.,.,.,12,2,40,30,8,59,21,5,51,33,11,47,57,43,71,"NEW FRONTIERS PUBLIC SCHOOLS INC",31,11,58,34,9,64,18,6,41
"'015806",13,4,38,-1,-1,-1,100,57,100,-1,-1,-1,18,7,46,12,2,41,17,7,44,16,6,45,19,8,47,.,.,.,4,1,26,20,7,46,14,4,40,13,11,17,8,0,33,"SCHOOL OF EXCELLENCE IN EDUCATION",20,7,51,13,5,32,-1,-1,-1
"'015807",10,2,33,39,9,78,50,30,90,-1,-1,-1,15,4,41,13,4,32,13,4,37,17,6,42,12,3,38,.,.,.,9,2,31,13,2,39,12,3,37,10,1,35,26,8,52,"SOUTHWEST PREPARATORY SCHOOL",14,5,41,16,4,41,2,0,14
"'015808",22,0,33,100,40,100,-1,-1,-1,.,.,.,35,14,64,27,18,36,31,16,58,33,13,63,30,13,58,48,19,83,29,0,43,36,16,64,24,9,38,18,7,39,37,14,68,"INSPIRE ACADEMIES",43,18,71,31,13,60,67,33,83
"'015809",19,4,40,.,.,.,.,.,.,.,.,.,11,1,37,14,0,43,12,1,42,10,2,42,9,1,37,.,.,.,19,4,40,11,0,32,10,1,36,19,0,44,36,0,36,"BEXAR COUNTY ACADEMY",10,1,39,11,1,35,0,0,17
"'015814",14,0,43,.,.,.,.,.,.,.,.,.,15,3,41,-1,-1,-1,18,4,43,17,4,48,14,3,40,.,.,.,20,0,60,14,3,34,15,2,41,8,4,15,38,13,50,"POSITIVE SOLUTIONS CHARTER SCHOOL",-1,-1,-1,16,3,41,.,.,.
"'015815",26,8,59,16,5,53,40,0,80,-1,-1,-1,30,11,63,42,31,66,31,14,65,27,9,59,29,9,63,-1,-1,-1,25,8,59,32,13,66,26,10,59,27,14,43,34,19,65,"HERITAGE ACADEMY",46,24,71,26,8,61,38,0,100
"'015822",15,5,40,26,10,52,56,27,71,.,.,.,18,6,44,15,4,40,15,5,41,18,6,45,17,6,43,14,0,46,12,4,37,17,6,42,10,3,32,8,3,19,26,10,51,"JUBILEE ACADEMIES",20,7,46,15,5,40,12,3,35
"'015825",17,5,38,40,10,50,.,.,.,.,.,.,19,5,41,30,0,61,15,3,38,23,5,47,17,5,38,.,.,.,12,2,33,16,5,37,10,1,33,5,2,9,27,12,62,"LIGHTHOUSE PUBLIC SCHOOLS",24,6,48,12,5,34,15,8,31
"'015827",17,5,43,35,12,68,45,17,78,25,25,42,27,10,56,25,10,53,22,8,49,26,9,55,24,8,52,21,4,61,10,2,33,29,11,57,17,5,41,9,3,22,40,18,69,"SCHOOL OF SCIENCE AND TECHNOLOGY",34,12,64,25,9,53,15,7,41
"'015828",21,6,48,35,7,58,70,28,85,0,0,40,29,10,56,29,9,58,26,8,53,30,10,59,28,9,55,40,0,100,16,5,41,27,9,53,18,5,44,16,6,28,44,21,65,"HARMONY SCIENCE ACAD (SAN ANTONIO)",32,11,59,25,8,53,14,3,45
"'015830",15,3,42,33,12,85,45,22,77,22,11,78,24,8,52,22,10,48,21,7,49,25,9,55,22,7,51,-1,-1,-1,14,3,41,23,7,50,13,2,39,8,2,23,37,14,62,"BROOKS ACADEMIES OF TEXAS",25,9,54,23,7,51,22,6,34
"'015831",22,9,52,31,11,65,49,28,78,-1,-1,-1,30,12,59,29,12,61,25,9,54,31,13,60,25,8,54,0,0,13,15,5,43,29,11,59,19,7,47,17,5,32,39,18,67,"SCHOOL OF SCIENCE AND TECHNOLOGY D",30,12,58,30,12,60,25,12,51
"'015833",.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,62,17,83,20,0,40,63,18,82,65,15,84,64,16,85,.,.,.,.,.,.,50,25,75,55,11,76,25,0,25,86,29,93,"HENRY FORD ACADEMY ALAMEDA SCHOOL",0,0,67,66,17,83,-1,-1,-1
"'015834",65,39,88,71,45,91,79,54,95,-1,-1,-1,71,44,91,63,34,85,57,25,84,71,45,90,60,30,86,81,56,81,58,29,84,72,44,91,50,24,80,43,27,67,73,46,91,"BASIS TEXAS",75,46,92,67,42,89,67,31,91
"'015835",40,17,72,54,29,82,66,37,89,.,.,.,53,26,81,33,13,67,36,15,69,52,26,81,41,18,74,80,40,100,29,11,62,54,27,81,34,12,67,26,11,50,61,32,87,"GREAT HEARTS TEXAS",60,31,88,47,23,77,50,20,77
"'015836",43,17,81,57,36,89,66,39,89,.,.,.,59,30,86,64,36,93,44,19,75,58,29,85,53,27,83,-1,-1,-1,33,11,75,61,30,87,41,11,76,30,13,61,65,30,89,"ELEANOR KOLITZ HEBREW LANGUAGE ACA",61,31,87,55,27,84,80,60,100
"'015838",11,1,34,0,0,29,0,0,0,.,.,.,19,4,41,6,3,28,17,3,38,15,3,39,19,4,42,.,.,.,10,1,33,23,5,44,9,0,28,16,3,24,27,7,51,"COMPASS ROSE ACADEMY",39,2,64,18,4,40,8,0,23
"'015839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PROMESA ACADEMY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'015840",0,0,6,-1,-1,-1,.,.,.,-1,-1,-1,11,4,36,8,2,33,7,2,32,13,6,42,15,7,38,.,.,.,0,0,6,9,2,29,2,0,18,7,0,21,-1,-1,-1,"SAN ANTONIO PREPARATORY CHARTER SC",.,.,.,11,4,36,11,0,28
"'015841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"THE GATHERING PLACE",.,.,.,.,.,.,.,.,.
"'015901",27,9,58,72,34,86,62,37,86,50,39,89,57,27,80,37,22,64,29,9,57,58,28,82,43,18,70,79,8,96,17,5,49,55,27,79,24,7,56,26,8,43,67,34,88,"ALAMO HEIGHTS ISD",58,28,82,53,26,76,46,26,77
"'015904",23,7,49,23,15,54,54,38,85,.,.,.,25,8,53,20,4,47,23,7,51,25,7,55,25,8,53,-1,-1,-1,14,5,39,25,8,51,16,4,43,14,4,27,31,11,55,"HARLANDALE ISD",26,8,55,20,5,45,20,8,46
"'015905",17,5,41,13,4,54,46,13,68,20,20,40,17,5,41,15,5,38,16,5,40,17,4,43,17,5,40,-1,-1,-1,15,4,38,17,5,39,13,3,35,16,6,21,27,7,41,"EDGEWOOD ISD",18,5,42,15,5,36,16,3,36
"'015906",38,8,92,63,30,90,71,33,94,79,26,95,64,32,89,53,20,84,48,16,75,66,32,92,57,25,86,25,13,88,40,10,90,62,32,87,28,9,71,25,9,62,74,44,94,"RANDOLPH FIELD ISD",66,35,91,62,30,88,61,32,94
"'015907",17,5,40,25,8,52,32,18,56,13,0,38,20,6,44,14,4,36,17,5,41,21,6,47,20,6,44,13,3,37,13,4,34,19,6,41,10,2,31,14,5,23,37,17,61,"SAN ANTONIO ISD",20,6,44,20,6,43,15,4,38
"'015908",17,5,42,15,0,15,38,12,65,-1,-1,-1,20,6,43,14,5,35,18,5,41,21,6,46,20,6,43,17,0,17,14,5,38,18,6,41,15,4,36,13,6,19,23,8,44,"SOUTH SAN ANTONIO ISD",21,6,46,15,5,37,11,3,33
"'015909",35,14,66,60,23,83,43,43,71,.,.,.,40,15,69,50,14,79,38,14,68,42,16,72,39,15,69,.,.,.,33,12,64,39,15,67,29,8,59,26,12,41,50,22,77,"SOMERSET ISD",41,16,70,38,13,66,46,14,74
"'015910",32,13,59,58,28,81,73,45,89,47,23,65,47,22,72,29,11,54,32,12,59,49,23,74,40,16,67,40,16,67,28,11,56,46,21,70,32,10,57,22,6,40,64,34,85,"NORTH EAST ISD",50,23,74,41,18,65,39,18,71
"'015911",17,4,40,33,11,64,42,18,69,0,0,60,23,7,50,18,5,43,19,6,45,26,8,54,22,6,48,36,9,50,14,3,37,21,6,46,14,3,37,12,2,23,33,13,61,"EAST CENTRAL ISD",25,8,52,19,5,46,17,6,48
"'015912",23,8,50,30,9,65,50,24,72,25,13,50,28,9,55,26,9,54,25,8,51,28,9,56,27,9,54,34,21,52,18,6,44,28,10,53,18,5,43,16,5,28,41,17,67,"SOUTHWEST ISD",30,10,58,23,7,48,28,7,58
"'015913",65,26,85,48,24,77,92,25,100,-1,-1,-1,50,23,81,40,15,78,39,18,78,50,22,80,48,16,81,.,.,.,50,18,77,50,24,81,32,11,65,34,13,61,54,28,83,"LACKLAND ISD",61,28,89,47,21,79,44,19,69
"'015914",30,7,63,53,23,86,65,29,94,60,15,90,50,21,79,48,16,79,42,16,72,49,21,80,45,17,73,57,29,86,17,4,57,51,21,78,26,6,56,25,4,51,53,26,82,"FT SAM HOUSTON ISD",52,20,77,49,21,80,62,21,95
"'015915",26,9,54,49,23,75,56,31,76,52,25,75,40,16,67,33,11,61,26,8,54,41,17,69,35,13,63,51,24,73,18,6,46,38,15,65,19,5,47,20,6,36,55,27,80,"NORTHSIDE ISD",41,17,68,35,14,61,35,15,65
"'015916",23,7,51,39,16,65,50,25,77,32,12,68,31,11,59,25,8,51,25,8,54,32,11,61,29,9,58,39,9,65,18,5,46,29,10,57,22,6,51,17,5,31,42,17,71,"JUDSON ISD",33,12,62,27,9,54,20,6,49
"'015917",21,8,46,60,36,84,15,0,38,.,.,.,22,8,48,27,15,42,21,7,45,24,8,49,22,7,47,0,0,33,17,7,42,21,8,46,15,4,38,14,8,24,31,15,53,"SOUTHSIDE ISD",24,9,49,18,7,42,19,10,53
"'016901",37,11,68,52,13,83,-1,-1,-1,.,.,.,54,22,82,.,.,.,45,17,74,60,26,86,48,15,78,.,.,.,26,4,60,49,18,77,34,6,68,26,9,44,57,25,83,"JOHNSON CITY ISD",56,21,82,50,22,81,43,29,86
"'016902",14,3,51,33,17,67,-1,-1,-1,.,.,.,48,19,76,5,0,16,31,11,62,47,19,77,39,13,70,-1,-1,-1,10,2,43,49,20,75,20,3,52,16,3,33,56,25,82,"BLANCO ISD",50,19,77,44,19,72,54,11,89
"'017901",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,61,30,92,.,.,.,46,12,91,67,37,94,44,12,88,-1,-1,-1,-1,-1,-1,55,23,90,36,6,91,45,17,76,63,33,92,"BORDEN COUNTY ISD",66,32,92,46,24,91,90,70,100
"'018901",20,6,49,22,8,51,76,41,82,-1,-1,-1,46,19,74,24,8,52,31,10,63,50,20,77,34,12,65,-1,-1,-1,19,5,38,43,18,71,21,6,54,24,10,47,56,26,82,"CLIFTON ISD",47,21,74,42,14,73,60,56,88
"'018902",26,12,45,36,14,86,100,100,100,.,.,.,34,11,66,18,6,47,26,7,60,38,12,72,20,2,56,.,.,.,26,12,45,31,11,61,20,4,53,21,2,42,42,16,71,"MERIDIAN ISD",34,12,66,33,8,63,17,0,48
"'018903",19,9,50,0,0,9,.,.,.,.,.,.,31,9,60,.,.,.,27,8,57,29,6,64,37,12,68,-1,-1,-1,17,7,47,33,12,56,11,3,39,6,4,21,24,3,55,"MORGAN ISD",33,10,56,28,7,68,-1,-1,-1
"'018904",28,11,60,35,13,74,-1,-1,-1,-1,-1,-1,45,15,73,0,0,16,37,12,67,48,18,74,36,12,68,.,.,.,22,5,53,42,13,73,23,4,48,19,4,36,50,16,76,"VALLEY MILLS ISD",46,16,74,43,12,70,58,16,74
"'018905",18,3,59,-1,-1,-1,.,.,.,.,.,.,29,6,60,.,.,.,25,4,58,27,7,60,25,7,61,.,.,.,18,3,59,31,6,61,23,4,54,8,0,17,36,6,58,"WALNUT SPRINGS ISD",29,7,60,31,4,63,43,7,93
