DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R
'015915,39,16,72,65,34,89,71,42,89,61,30,84,51,23,80,44,17,74,39,14,72,53,24,82,46,19,77,51,25,79,27,10,62,49,22,77,28,7,65,26,9,50,66,35,88,53,24,81,46,20,76,47,21,79
'015916,35,12,69,50,23,79,60,32,84,47,12,79,42,16,73,34,12,67,36,13,69,44,17,76,41,15,73,45,9,74,28,10,61,39,15,70,30,9,65,20,6,40,53,24,81,44,18,75,38,13,70,30,11,65
'015917,30,11,62,59,35,76,38,10,86,.,.,.,30,10,62,30,10,59,28,9,60,31,11,66,29,9,62,.,.,.,27,10,59,28,9,59,19,5,52,16,4,31,33,13,61,31,10,64,26,8,58,19,7,53
'016901,24,4,54,22,8,62,67,33,83,.,.,.,49,19,79,.,.,.,40,15,71,57,24,87,39,16,68,.,.,.,14,0,47,43,16,72,22,4,57,19,7,39,55,21,84,48,19,77,53,22,86,42,17,75
'016902,23,8,62,33,21,73,-1,-1,-1,.,.,.,55,23,83,47,5,58,38,13,73,59,25,87,40,14,75,.,.,.,22,7,56,51,22,80,28,7,66,24,9,50,66,30,90,53,23,82,59,24,87,60,21,98
'017901,40,0,60,78,22,100,.,.,.,.,.,.,67,30,89,-1,-1,-1,53,19,80,70,31,91,48,13,84,-1,-1,-1,-1,-1,-1,63,29,86,43,12,72,26,8,56,71,35,89,67,30,90,67,29,81,47,18,94
'018901,30,10,68,35,15,67,71,29,79,.,.,.,52,25,80,45,14,69,38,16,72,54,26,83,37,17,72,44,11,89,20,13,57,49,24,78,24,9,61,28,17,54,62,31,86,55,28,83,42,17,73,45,5,100
'018902,27,8,56,20,5,59,100,80,100,.,.,.,40,14,75,41,0,65,35,10,71,43,14,77,33,8,68,.,.,.,22,9,51,38,14,74,21,6,59,16,6,38,46,18,83,42,14,76,35,12,73,43,14,86
'018903,12,0,53,0,0,0,.,.,.,.,.,.,29,9,63,.,.,.,28,8,61,33,12,68,26,7,64,.,.,.,12,0,53,26,8,59,9,0,42,18,12,27,38,14,70,29,9,62,29,10,63,22,0,67
'018904,25,7,59,28,9,63,-1,-1,-1,.,.,.,41,13,75,31,14,69,30,8,67,40,13,76,37,10,70,.,.,.,9,1,41,41,13,74,19,3,61,21,6,48,43,15,77,41,14,75,40,13,74,30,10,70
