DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R
'061805,44,11,63,56,44,84,80,47,90,67,50,83,62,34,87,10,0,48,64,28,100,63,36,88,49,23,77,.,.,.,24,6,41,60,33,86,29,10,68,20,12,46,64,35,91,.,.,.,62,34,87,55,36,73
'061901,35,13,69,55,28,84,75,45,94,62,25,78,53,24,81,38,14,70,38,14,70,56,26,84,43,16,75,47,24,79,26,9,61,50,22,78,27,8,64,21,8,46,63,31,87,55,25,82,47,20,77,48,20,80
'061902,35,12,68,63,32,87,79,47,93,54,30,87,60,28,84,39,13,71,37,12,69,62,29,86,43,16,74,57,26,83,22,6,57,58,27,82,29,7,65,28,9,53,71,34,91,62,29,85,52,23,79,63,27,87
'061903,28,6,66,41,14,79,63,50,100,-1,-1,-1,45,17,78,29,5,66,36,10,72,49,18,81,38,11,73,37,0,89,20,5,58,43,16,76,24,6,65,27,12,45,54,23,83,48,18,80,39,14,72,23,2,65
'061905,26,8,63,54,16,78,83,42,100,-1,-1,-1,46,18,78,38,17,61,33,11,67,48,17,80,35,12,69,45,15,65,14,4,52,45,18,76,22,4,60,18,6,40,51,20,82,47,18,79,44,16,75,41,15,79
'061906,28,11,69,29,12,73,86,36,100,.,.,.,53,25,83,33,14,84,38,14,73,53,23,84,38,15,74,20,0,53,19,5,61,53,26,83,22,7,62,30,13,51,58,28,87,55,27,84,48,20,82,36,20,76
'061907,41,14,76,58,24,81,86,62,100,-1,-1,-1,60,27,86,41,13,73,48,17,80,63,28,88,50,20,81,55,21,95,16,2,60,57,25,84,29,7,68,33,9,55,64,29,89,64,29,89,54,22,82,58,22,95
'061908,24,7,59,46,17,72,54,31,79,100,33,100,49,21,79,40,13,74,38,14,71,51,21,81,34,13,69,68,29,91,15,3,51,47,20,76,20,4,59,22,6,48,55,24,83,51,22,80,44,16,75,41,13,69
'061910,50,25,84,73,43,94,83,55,97,.,.,.,74,39,94,76,36,98,49,21,81,74,40,94,64,30,91,92,68,100,35,16,75,73,38,94,42,13,79,35,14,62,75,39,94,74,41,93,73,37,94,74,39,96
'061911,41,18,73,65,33,88,79,48,94,57,25,86,62,31,86,47,19,77,43,16,74,64,32,88,51,22,80,58,27,85,26,8,61,59,29,84,28,7,65,23,7,48,66,34,89,64,32,87,56,27,83,59,29,86
'061912,29,10,67,56,20,84,76,52,90,100,86,100,52,22,82,37,12,73,41,16,74,55,24,83,43,17,77,35,19,78,19,4,56,50,21,81,24,6,63,20,6,47,59,26,86,56,25,84,45,17,78,47,17,84
'061914,33,12,68,57,25,86,68,38,88,40,17,77,46,19,77,38,14,71,37,12,70,50,21,80,38,13,72,53,13,80,24,8,60,43,18,74,24,6,62,19,7,42,55,26,83,48,20,79,41,17,72,35,18,66
'062901,34,8,68,38,14,73,73,27,82,-1,-1,-1,42,16,75,24,6,58,33,9,69,46,17,78,36,11,73,0,0,80,24,7,61,38,15,71,25,7,62,22,8,40,55,25,82,41,15,75,43,16,74,32,10,84
'062902,.,.,.,.,.,.,.,.,.,.,.,.,30,10,68,22,0,44,32,11,70,25,9,66,20,5,64,.,.,.,.,.,.,35,10,70,9,1,53,17,4,30,39,14,72,33,12,71,22,3,60,80,20,80
'062903,33,10,68,36,12,68,78,11,100,.,.,.,38,13,71,22,8,55,34,11,69,39,13,76,35,10,70,.,.,.,21,5,56,36,13,67,21,4,56,20,6,35,51,23,79,38,13,71,38,14,72,37,10,63
'062904,20,0,40,40,20,60,.,.,.,.,.,.,36,13,68,15,0,50,27,8,59,40,15,77,29,7,58,.,.,.,15,0,31,32,10,61,13,2,47,11,1,32,45,20,81,38,13,71,32,12,63,33,28,56
'062905,32,16,74,-1,-1,-1,.,.,.,.,.,.,49,19,84,.,.,.,47,17,81,47,17,86,45,14,83,.,.,.,0,0,44,50,22,82,15,8,46,38,13,50,52,26,87,47,17,86,51,23,82,60,40,90
'062906,43,14,71,.,.,.,.,.,.,.,.,.,49,22,86,33,0,83,39,16,81,51,25,84,39,14,80,.,.,.,.,.,.,45,19,88,9,0,67,20,0,60,53,27,89,49,25,87,48,19,85,.,.,.
'063903,33,0,100,0,0,22,.,.,.,.,.,.,38,14,70,47,11,79,30,9,63,36,16,72,31,8,67,.,.,.,33,0,100,40,13,69,19,4,51,6,1,18,47,22,75,42,16,75,31,12,61,29,0,71
'063906,-1,-1,-1,.,.,.,.,.,.,.,.,.,39,15,75,.,.,.,37,13,74,38,13,72,35,16,71,.,.,.,.,.,.,39,16,77,20,0,50,6,0,28,43,14,79,40,20,77,38,8,72,31,0,85
'064903,33,16,65,47,27,73,100,70,100,.,.,.,33,12,66,26,16,68,28,9,62,34,13,70,32,11,65,-1,-1,-1,18,6,51,31,11,62,18,3,54,14,3,29,51,17,76,33,12,66,29,10,64,19,2,51
'065901,.,.,.,43,13,78,.,.,.,-1,-1,-1,52,21,81,24,3,52,43,14,75,52,20,81,43,13,82,-1,-1,-1,.,.,.,53,23,82,24,4,63,26,7,52,58,25,85,54,23,82,49,17,78,21,0,47
'065902,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,70,26,90,20,0,80,71,26,90,78,27,94,68,14,86,.,.,.,-1,-1,-1,63,26,86,59,11,84,56,44,67,73,31,91,65,21,87,75,32,92,-1,-1,-1
'066005,45,5,85,.,.,.,.,.,.,.,.,.,48,8,88,.,.,.,48,8,88,40,10,100,48,8,88,.,.,.,31,6,81,53,7,80,48,8,88,.,.,.,.,.,.,48,8,88,.,.,.,-1,-1,-1
'066901,31,3,60,.,.,.,.,.,.,.,.,.,32,8,65,.,.,.,32,10,64,33,8,66,32,9,65,.,.,.,21,4,54,31,9,64,21,4,53,26,10,42,29,0,57,34,9,66,26,7,61,50,25,75
'066902,21,3,61,.,.,.,.,.,.,.,.,.,36,12,69,.,.,.,32,10,66,38,11,73,36,12,70,.,.,.,7,2,53,34,13,66,14,3,51,20,14,41,18,6,55,36,13,69,34,10,70,16,4,40
'066903,23,3,61,-1,-1,-1,100,50,100,.,.,.,32,11,65,-1,-1,-1,26,9,60,34,12,70,31,10,65,.,.,.,8,3,44,30,11,61,17,4,54,20,11,43,41,20,69,32,11,65,31,14,64,31,19,69
'067902,13,7,60,75,29,93,58,32,100,.,.,.,53,20,82,25,5,60,46,15,75,54,20,82,52,16,83,58,33,83,6,0,39,52,20,82,33,8,67,26,12,42,53,21,82,57,22,85,43,16,72,73,19,92
'067903,27,7,57,33,10,50,69,19,100,.,.,.,40,13,75,10,0,47,33,10,68,42,14,78,32,9,68,.,.,.,12,3,43,37,12,72,18,4,57,16,5,40,43,15,78,41,15,76,36,9,70,24,5,78
'067904,19,0,52,55,18,64,.,.,.,.,.,.,39,14,70,.,.,.,36,14,65,46,14,79,38,13,72,.,.,.,19,0,52,33,14,62,18,3,52,16,2,30,39,14,68,39,15,70,37,11,68,13,0,50
'067907,0,0,20,-1,-1,-1,-1,-1,-1,.,.,.,31,10,62,11,0,32,28,7,58,32,11,67,26,7,55,40,40,80,0,0,25,29,8,57,16,3,48,25,16,45,33,11,66,30,9,64,31,11,56,43,9,74
'067908,29,6,65,17,0,83,-1,-1,-1,.,.,.,48,17,77,.,.,.,44,14,74,48,14,77,42,11,78,.,.,.,29,6,65,48,21,78,24,6,60,35,29,41,49,17,77,60,23,87,29,8,62,22,11,56
'068802,62,29,86,59,14,82,60,60,80,.,.,.,47,22,81,38,12,71,44,18,79,51,24,82,47,22,79,64,45,100,14,14,57,43,19,79,15,3,58,17,8,48,47,22,82,49,23,83,44,21,77,60,19,93
'068803,50,18,62,42,19,73,100,53,100,-1,-1,-1,46,17,79,41,0,86,35,11,71,46,16,80,43,16,77,-1,-1,-1,15,0,35,46,19,78,21,4,61,20,9,55,48,18,80,51,20,82,44,16,77,0,0,46
'068901,25,8,57,43,22,70,63,34,87,32,7,70,31,11,63,20,6,50,25,8,57,33,11,66,29,9,61,39,15,68,19,7,49,30,10,60,18,4,51,14,4,31,41,15,72,31,10,63,31,11,62,22,9,59
'069901,15,10,63,.,.,.,.,.,.,.,.,.,30,9,67,.,.,.,25,8,61,34,12,69,24,7,63,.,.,.,17,17,61,27,7,65,14,4,53,24,8,46,48,14,78,28,9,64,35,9,73,50,33,50
'069902,22,0,56,86,21,100,.,.,.,.,.,.,49,17,79,.,.,.,48,16,76,54,17,84,42,14,71,.,.,.,22,0,56,43,16,73,32,3,60,21,2,50,53,19,86,48,19,77,49,10,84,29,6,94
'070801,18,4,50,11,5,37,-1,-1,-1,.,.,.,18,4,51,14,3,44,18,4,50,19,5,52,20,4,52,-1,-1,-1,16,3,48,18,4,49,14,3,46,4,1,19,29,9,66,27,11,61,18,4,50,3,0,33
'070901,17,0,56,.,.,.,.,.,.,.,.,.,42,15,77,18,9,45,32,8,74,45,16,79,28,5,71,-1,-1,-1,6,0,50,39,14,74,8,2,58,17,1,56,44,18,77,42,16,76,40,12,78,0,0,50
'070903,33,12,69,47,17,72,63,33,83,27,10,57,44,18,75,26,9,61,38,14,71,47,19,79,41,15,74,73,36,91,14,4,51,42,17,71,19,4,55,17,4,37,58,27,84,45,18,76,40,16,70,39,14,78
'070905,23,7,62,36,19,76,59,12,88,-1,-1,-1,32,10,68,21,6,57,30,9,66,34,11,70,32,10,68,29,0,64,11,2,50,29,9,65,20,4,58,16,5,38,34,11,69,33,11,69,28,8,63,25,7,66
'070907,33,11,63,40,24,71,.,.,.,.,.,.,41,16,72,16,5,50,35,13,69,44,16,78,40,13,73,-1,-1,-1,30,8,54,39,16,67,26,7,61,14,2,35,50,21,79,45,18,75,34,13,68,47,24,88
'070908,35,14,71,55,26,83,67,35,87,0,0,0,57,26,85,48,18,80,40,15,75,59,28,87,44,18,79,53,13,86,22,8,61,55,25,82,31,9,70,20,7,49,62,30,87,59,27,86,52,25,82,58,27,86
'070909,13,3,50,49,21,77,.,.,.,.,.,.,29,8,64,19,2,63,25,7,59,39,12,70,21,4,57,.,.,.,14,4,48,21,5,60,18,3,54,6,0,30,36,11,67,25,6,64,38,12,66,14,0,71
'070910,36,10,75,44,23,79,57,29,100,.,.,.,52,21,84,44,15,85,44,16,79,55,23,87,46,16,80,14,0,100,24,6,65,50,20,81,30,7,71,29,9,60,59,26,87,54,22,85,49,20,80,24,4,76
'070911,35,14,66,58,24,84,61,30,78,36,18,55,48,20,77,42,15,76,39,14,71,52,21,81,44,17,75,61,21,80,22,8,56,45,18,73,25,7,60,19,6,42,54,25,80,51,21,79,42,16,73,56,23,83
'070912,37,13,70,55,24,87,69,40,96,55,23,90,50,21,79,31,10,66,40,14,72,52,23,81,46,18,76,64,25,89,31,11,64,47,19,77,28,7,65,20,6,45,58,26,84,51,22,80,47,20,76,51,20,84
'070915,14,4,54,65,42,87,63,38,100,-1,-1,-1,47,19,77,22,2,76,32,11,65,47,19,82,31,11,63,-1,-1,-1,6,1,47,46,19,73,27,8,62,11,4,30,51,21,80,48,21,78,44,15,75,29,17,62
'071801,41,19,73,75,33,100,71,43,90,-1,-1,-1,55,27,83,44,25,75,49,23,82,58,29,85,54,26,83,.,.,.,32,10,68,52,25,81,33,10,69,21,8,47,65,40,85,61,32,89,48,20,76,39,23,70
'071803,21,5,53,.,.,.,.,.,.,.,.,.,32,8,65,.,.,.,32,8,64,36,12,67,32,8,65,.,.,.,19,4,53,28,3,62,29,5,61,8,0,58,.,.,.,-1,-1,-1,32,8,65,11,0,22
'071804,5,0,43,.,.,.,.,.,.,.,.,.,23,4,65,-1,-1,-1,21,4,64,23,4,67,21,4,64,.,.,.,3,0,37,24,5,64,21,4,62,5,0,47,54,8,88,0,0,60,24,4,65,0,0,0
'071806,42,15,75,64,27,84,72,36,94,44,0,78,49,21,80,34,13,71,45,17,78,50,21,80,49,21,80,31,6,75,27,8,65,48,21,79,37,13,71,23,9,49,49,24,81,53,23,82,46,19,77,38,14,75
'071807,30,10,68,.,.,.,.,.,.,.,.,.,34,12,70,.,.,.,33,11,70,39,13,76,34,12,71,.,.,.,24,8,63,27,9,63,24,8,64,20,0,40,-1,-1,-1,44,15,76,13,5,59,46,17,58
'071809,56,33,87,60,0,100,50,50,100,.,.,.,68,38,93,73,55,100,61,30,92,70,40,92,67,37,93,.,.,.,55,30,86,66,37,94,41,17,81,21,4,63,80,53,90,72,43,94,61,30,91,46,15,85
'071810,30,6,66,.,.,.,.,.,.,.,.,.,41,15,74,20,0,60,40,15,73,36,15,73,41,15,74,-1,-1,-1,24,4,56,45,15,76,31,12,64,21,2,61,80,20,100,.,.,.,41,15,74,20,10,57
'071901,29,9,64,48,20,68,85,46,92,-1,-1,-1,38,13,71,37,12,76,36,12,70,39,14,74,38,13,71,12,8,58,16,4,48,38,13,69,20,4,56,19,4,37,43,16,76,41,14,73,31,10,65,34,13,70
'071902,32,12,65,59,29,84,79,52,93,51,19,86,45,19,75,43,17,76,37,13,69,47,20,78,43,17,74,40,16,75,24,8,56,44,18,73,27,8,62,22,7,44,64,33,87,46,19,76,44,18,72,40,17,75
'071903,38,14,69,.,.,.,.,.,.,.,.,.,44,17,75,.,.,.,43,16,74,47,18,78,44,17,75,.,.,.,32,12,64,41,15,72,32,10,66,22,5,47,72,28,92,44,18,76,43,13,70,33,11,70
'071904,30,10,65,.,.,.,.,.,.,.,.,.,38,13,70,40,40,80,36,13,69,41,14,74,38,13,70,.,.,.,22,7,56,35,12,67,23,7,59,17,5,42,33,8,33,39,14,72,32,10,63,25,10,61
'071905,41,16,74,63,27,85,70,50,85,63,22,88,50,21,81,49,20,80,46,18,79,52,22,83,50,21,81,41,16,78,30,11,65,49,20,79,31,10,69,31,12,58,63,29,88,52,22,83,45,18,77,49,20,82
'071906,26,7,65,-1,-1,-1,.,.,.,.,.,.,40,14,75,-1,-1,-1,40,14,75,42,16,76,39,13,75,.,.,.,18,4,58,37,11,74,19,3,61,26,8,53,64,29,88,40,15,76,38,10,73,53,16,89
'071907,36,13,70,55,37,76,80,67,97,.,.,.,48,20,79,61,31,86,42,16,75,49,20,80,47,19,78,7,7,79,28,10,63,47,20,77,30,9,67,22,7,42,64,38,86,48,20,78,49,20,79,36,11,76
'071908,21,6,58,.,.,.,.,.,.,.,.,.,29,9,65,.,.,.,29,9,64,31,10,65,29,9,65,-1,-1,-1,14,4,49,28,8,65,18,5,55,24,10,47,.,.,.,31,9,67,22,7,57,18,9,55
'071909,39,14,73,62,29,88,74,43,93,46,21,79,51,22,82,53,23,82,47,18,79,54,23,84,51,21,81,35,8,66,25,7,61,49,21,79,29,7,67,23,7,50,62,32,87,54,23,83,45,18,77,46,17,80
'072801,28,6,64,41,8,75,57,19,81,56,0,78,38,9,71,27,5,61,33,7,68,39,9,75,36,8,69,30,3,65,27,5,62,36,8,65,33,6,68,12,3,37,42,11,74,25,6,74,38,9,71,30,4,60
'072802,0,0,10,.,.,.,.,.,.,.,.,.,29,4,66,-1,-1,-1,26,3,62,28,4,68,17,0,38,-1,-1,-1,0,0,10,31,4,62,27,1,62,9,0,18,32,6,76,-1,-1,-1,29,4,65,.,.,.
'072901,20,5,48,-1,-1,-1,.,.,.,.,.,.,37,12,68,.,.,.,35,11,66,41,19,75,21,5,54,.,.,.,16,3,41,35,8,64,15,3,39,50,10,60,59,20,89,34,13,59,39,12,75,33,0,56
'072902,42,14,82,59,8,81,-1,-1,-1,.,.,.,53,20,85,56,0,81,49,18,83,52,20,86,47,16,82,-1,-1,-1,33,10,75,54,21,83,35,8,74,26,11,52,64,29,90,53,20,86,53,21,81,50,12,83
'072903,31,10,69,54,26,86,87,54,96,.,.,.,51,22,81,26,6,53,38,13,72,53,22,84,37,11,72,33,11,67,23,6,60,49,22,79,23,5,62,24,8,48,58,27,87,53,23,83,45,18,78,30,15,69
'072904,.,.,.,20,0,80,.,.,.,.,.,.,43,17,74,.,.,.,40,16,64,49,23,80,58,21,89,-1,-1,-1,.,.,.,37,11,67,16,3,49,50,33,67,42,17,72,57,26,84,34,12,68,50,17,83
'072908,35,18,65,-1,-1,-1,-1,-1,-1,.,.,.,61,28,89,.,.,.,58,25,88,60,26,88,41,13,74,40,0,60,14,0,43,63,31,89,34,4,74,37,11,63,68,33,94,64,27,91,55,28,85,.,.,.
'072909,22,8,66,.,.,.,.,.,.,.,.,.,41,17,77,.,.,.,27,9,69,49,24,78,31,10,72,.,.,.,9,1,54,34,11,76,22,4,62,21,7,79,50,23,82,40,16,78,44,20,75,71,0,100
'072910,-1,-1,-1,50,13,88,.,.,.,.,.,.,43,17,75,.,.,.,20,5,52,45,18,78,17,0,39,.,.,.,-1,-1,-1,40,16,71,5,0,21,14,0,36,48,21,82,42,17,74,43,18,78,-1,-1,-1
'073901,36,8,76,33,0,83,-1,-1,-1,-1,-1,-1,44,13,80,38,11,78,41,12,78,52,14,85,41,9,77,-1,-1,-1,22,4,65,38,11,75,27,6,69,18,2,42,59,24,90,45,12,80,41,14,80,31,19,88
'073903,19,6,42,25,13,56,43,14,86,.,.,.,19,5,45,16,4,42,19,5,45,22,7,51,22,6,48,-1,-1,-1,8,2,31,17,4,40,11,2,37,18,3,30,29,13,55,18,5,44,22,6,49,4,4,29
'073904,-1,-1,-1,100,80,100,.,.,.,.,.,.,49,24,83,-1,-1,-1,33,16,73,55,24,83,25,4,79,.,.,.,-1,-1,-1,44,24,82,15,5,61,14,0,39,54,28,84,49,23,83,46,27,81,36,18,82
'073905,38,15,69,17,2,59,.,.,.,.,.,.,36,13,69,27,7,68,32,11,65,39,16,76,35,13,68,.,.,.,15,6,52,33,11,64,20,5,58,17,4,38,40,16,71,37,15,69,32,10,69,30,9,61
'074903,21,6,52,40,14,68,38,8,62,.,.,.,37,14,67,22,5,54,31,10,63,40,12,73,29,10,60,46,13,67,19,5,47,34,15,62,15,4,48,24,12,41,42,16,73,37,14,68,37,14,66,29,17,60
'074904,37,11,74,70,22,87,-1,-1,-1,.,.,.,61,24,86,.,.,.,53,19,82,61,23,87,44,13,81,.,.,.,46,15,69,61,24,85,31,6,67,30,7,53,62,25,86,62,24,85,56,21,89,71,29,100
'074905,33,0,67,55,0,64,38,13,88,.,.,.,43,15,72,50,0,67,35,11,64,42,14,74,15,0,47,.,.,.,-1,-1,-1,45,16,70,23,6,51,11,1,30,46,17,75,42,17,71,45,11,75,14,0,71
'074907,20,7,61,29,16,75,.,.,.,.,.,.,45,17,77,33,16,74,35,11,69,47,18,78,30,9,66,20,10,60,8,3,43,43,16,75,21,4,59,20,8,41,52,19,80,46,18,77,43,14,74,33,8,88
'074909,20,3,62,47,18,84,.,.,.,80,20,100,39,14,73,29,14,54,31,10,68,41,15,77,37,11,74,25,10,40,13,1,56,36,14,68,18,3,55,13,7,30,39,15,73,41,15,74,33,13,71,28,14,69
'074911,100,80,100,59,29,71,-1,-1,-1,.,.,.,50,20,83,-1,-1,-1,43,15,78,51,23,84,44,24,69,25,25,63,.,.,.,48,16,83,24,5,69,32,11,52,50,19,86,54,21,85,43,18,81,33,0,100
'074912,33,7,65,45,18,59,-1,-1,-1,.,.,.,45,16,79,27,7,80,39,11,73,46,17,81,42,12,72,-1,-1,-1,27,7,62,45,15,77,18,2,56,16,3,47,47,17,81,49,18,81,39,13,75,17,0,83
'074917,21,11,68,71,43,86,.,.,.,-1,-1,-1,50,21,83,29,29,57,40,16,77,52,22,83,41,13,74,.,.,.,12,4,64,49,20,82,16,4,60,28,7,57,51,21,84,52,23,83,47,16,82,31,6,56
'075901,38,16,76,22,11,89,-1,-1,-1,.,.,.,63,31,89,65,20,90,55,24,85,64,33,91,55,25,85,.,.,.,14,8,51,62,30,88,35,11,75,22,9,57,73,41,95,62,31,90,66,32,86,25,13,50
'075902,26,6,62,35,16,73,40,10,70,.,.,.,51,22,79,36,10,69,39,13,72,53,23,82,39,13,73,-1,-1,-1,19,4,51,50,20,77,27,6,62,28,8,54,64,31,87,51,21,79,52,23,81,30,11,65
'075903,29,7,67,48,9,74,25,13,75,.,.,.,40,15,72,13,4,43,29,9,65,41,15,73,37,10,74,13,13,75,14,5,52,39,15,72,15,3,54,15,5,32,53,24,82,38,14,71,44,19,76,15,5,60
'075906,11,0,76,-1,-1,-1,-1,-1,-1,.,.,.,54,23,88,27,9,64,33,11,82,52,25,90,22,7,77,.,.,.,8,0,71,56,22,87,23,3,75,20,3,60,62,27,92,57,24,90,49,21,86,41,18,82
'075908,49,20,78,69,46,100,.,.,.,.,.,.,56,26,82,7,0,33,45,18,70,63,30,88,41,16,72,-1,-1,-1,5,0,42,48,21,74,12,5,50,2,0,26,63,30,86,56,27,82,56,23,81,40,40,40
'076903,27,13,80,40,20,100,.,.,.,.,.,.,47,21,79,29,0,100,41,18,74,49,22,79,40,12,73,.,.,.,18,9,73,45,20,78,27,8,66,29,6,52,51,25,80,50,21,80,42,20,77,38,0,75
'076904,46,35,58,19,6,63,.,.,.,.,.,.,44,19,77,47,7,67,36,17,71,48,16,82,40,20,73,-1,-1,-1,17,0,33,42,22,73,21,3,59,23,7,48,54,21,86,47,22,78,38,14,74,40,0,80
'077901,23,4,53,-1,-1,-1,.,.,.,.,.,.,38,15,70,13,5,40,31,10,64,39,15,71,35,11,67,.,.,.,18,1,42,38,14,68,23,7,58,23,5,41,60,29,84,39,17,71,37,9,67,60,40,100
'077902,9,4,45,17,0,50,.,.,.,.,.,.,29,9,63,9,0,45,26,7,61,35,12,67,27,8,60,.,.,.,5,2,41,24,7,59,14,3,50,3,0,20,42,18,75,30,10,64,24,6,57,-1,-1,-1
'078901,-1,-1,-1,33,17,67,56,22,89,.,.,.,34,9,63,-1,-1,-1,31,7,62,35,9,71,22,3,55,.,.,.,-1,-1,-1,33,9,56,22,5,53,22,8,40,42,13,68,36,10,64,31,8,62,29,0,93
'079901,47,21,78,68,37,91,81,52,95,63,23,89,58,29,84,53,23,80,43,17,75,61,31,86,48,20,78,58,25,81,32,12,67,56,27,81,34,11,69,25,8,48,74,43,92,59,30,84,57,27,83,53,26,82
'079906,36,11,77,69,22,85,79,50,100,.,.,.,54,21,86,33,8,76,41,13,78,55,21,88,43,13,80,44,33,78,20,6,64,52,22,83,31,8,74,18,4,52,66,30,92,55,23,87,49,18,82,42,25,70
'079907,49,25,77,67,39,87,82,56,95,55,24,85,58,32,82,42,17,73,41,17,72,61,34,85,44,18,74,55,25,82,28,10,61,56,30,80,34,12,67,26,9,45,72,42,91,61,34,84,50,25,77,49,24,79
'079910,36,15,67,62,34,87,66,37,86,36,21,79,42,16,73,40,14,73,39,14,71,44,17,76,39,15,71,59,35,76,28,10,62,40,16,70,24,6,60,18,4,40,43,16,74,44,18,76,37,14,69,41,14,78
'080901,35,11,68,45,20,85,56,19,64,.,.,.,47,18,78,25,6,62,39,13,72,50,19,82,41,13,77,18,9,64,28,8,60,43,17,74,26,6,63,16,5,36,50,20,80,48,19,79,41,14,74,29,7,78
'081902,24,5,62,62,33,82,90,65,95,60,60,80,51,21,80,37,14,69,38,13,72,53,23,83,44,17,77,8,0,67,8,0,46,49,19,77,29,8,64,18,6,34,57,23,85,52,22,82,48,19,75,30,5,57
'081904,18,5,68,47,13,79,43,14,86,.,.,.,43,14,78,30,6,69,37,10,75,44,15,79,34,9,77,-1,-1,-1,11,4,62,42,13,77,22,6,65,33,13,55,51,19,80,43,15,78,44,12,76,24,5,71
'081905,0,0,40,44,22,78,-1,-1,-1,.,.,.,39,15,73,26,8,64,33,11,67,41,13,77,29,8,64,20,20,100,0,0,40,38,16,70,22,7,59,9,3,29,45,18,77,41,15,74,35,14,71,20,10,50
'081906,43,29,57,53,35,71,.,.,.,.,.,.,47,17,81,38,0,85,37,8,71,49,22,82,57,13,78,.,.,.,43,29,57,47,13,79,19,3,53,13,0,33,46,17,81,44,18,78,53,16,85,-1,-1,-1
'082902,30,11,69,-1,-1,-1,80,40,100,.,.,.,30,11,64,-1,-1,-1,24,8,60,34,12,69,28,8,62,.,.,.,32,11,68,27,10,59,19,5,54,11,7,25,51,28,81,30,10,63,33,12,66,31,0,54
'082903,15,7,45,-1,-1,-1,43,14,100,-1,-1,-1,26,10,58,38,19,63,22,7,55,29,10,63,25,9,57,.,.,.,15,7,41,24,9,53,15,4,49,24,12,34,48,22,77,26,9,58,25,10,60,17,2,41
'083901,25,5,62,-1,-1,-1,.,.,.,.,.,.,31,10,66,12,2,48,27,8,61,33,13,67,30,9,65,.,.,.,20,4,58,30,7,64,21,4,59,14,5,35,57,24,87,31,10,66,33,13,64,30,0,80
'083902,20,3,60,.,.,.,.,.,.,.,.,.,37,15,70,.,.,.,30,10,67,33,12,67,21,5,57,.,.,.,0,0,42,41,19,74,17,2,53,0,0,20,51,24,82,33,12,65,39,17,73,.,.,.
'083903,29,11,60,57,11,73,64,27,95,73,45,73,41,17,70,14,2,51,34,13,64,42,17,72,29,9,62,61,22,83,18,6,48,40,17,68,17,4,49,22,10,43,56,26,80,43,18,72,36,14,64,25,16,59
'084802,23,9,61,67,21,86,57,57,100,.,.,.,37,15,72,31,12,62,32,11,68,39,15,73,32,12,70,0,0,33,20,7,58,36,14,70,19,5,56,21,6,41,47,20,77,34,13,69,41,17,75,39,13,84
'084804,.,.,.,0,0,20,75,25,92,.,.,.,23,6,67,16,3,61,21,5,62,23,5,63,25,6,74,.,.,.,.,.,.,24,8,71,4,1,50,25,25,63,33,11,69,26,7,66,20,5,68,0,0,50
'084901,29,10,64,54,24,83,68,34,85,59,18,100,46,19,76,39,14,71,40,15,72,48,20,79,41,16,74,49,20,75,14,4,47,43,18,73,29,9,64,33,14,54,56,25,83,47,20,78,41,15,72,39,19,72
'084902,38,16,72,57,31,76,70,45,90,85,50,95,42,17,72,26,8,58,35,13,68,43,17,75,40,14,73,51,22,73,27,12,61,40,16,70,27,10,61,25,11,43,56,26,84,42,17,72,41,15,73,30,11,57
'084903,.,.,.,7,0,40,-1,-1,-1,.,.,.,42,17,72,-1,-1,-1,39,16,70,42,15,71,52,35,70,0,0,20,.,.,.,42,19,73,36,12,65,11,7,44,44,17,76,29,8,62,55,26,83,.,.,.
'084906,29,10,62,43,16,75,58,28,90,38,13,63,35,13,65,21,6,50,30,10,60,38,14,69,38,14,70,23,7,52,21,6,53,32,11,61,21,6,53,28,13,44,50,20,78,44,17,75,25,8,55,22,8,59
'084908,22,7,56,41,11,64,-1,-1,-1,.,.,.,31,11,64,25,8,59,27,9,61,31,11,65,33,12,64,.,.,.,9,2,43,31,10,63,16,5,49,26,11,43,41,15,74,32,11,65,29,11,62,21,9,58
'084909,27,11,57,36,18,71,61,33,72,-1,-1,-1,40,15,73,20,7,59,32,11,64,43,15,77,34,11,69,37,19,53,17,5,45,38,15,69,28,8,64,20,8,42,42,16,74,41,15,74,37,15,69,35,13,69
'084910,44,20,74,62,33,85,76,48,93,48,14,80,59,29,84,42,16,73,44,18,74,61,31,86,48,21,78,56,26,86,30,11,63,56,27,82,35,11,69,24,8,50,65,33,88,61,31,86,50,23,79,46,19,81
