DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R
"'057831",-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,31,11,64,31,10,63,31,10,64,31,10,65,37,10,73,-1,-1,-1,.,.,.,31,11,62,17,5,49,9,9,26,.,.,.,"GATEWAY CHARTER ACADEMY",35,13,65,28,9,63,-1,-1,-1
"'057833",30,14,70,24,6,47,51,27,86,80,60,100,31,14,62,26,10,51,28,14,61,28,13,61,28,11,70,.,.,.,20,6,63,33,14,63,17,5,47,22,9,38,30,14,57,"EDUCATION CENTER INTERNATIONAL ACADEMY",32,13,62,29,15,63,50,0,88
"'057834",16,1,45,55,27,64,67,50,100,.,.,.,23,4,57,19,2,53,22,2,55,24,4,60,20,3,56,-1,-1,-1,16,1,45,21,3,51,22,4,55,7,0,33,43,15,73,"EVOLUTION ACADEMY CHARTER SCHOOL",6,0,35,23,4,58,14,6,26
"'057835",37,18,70,-1,-1,-1,20,0,20,.,.,.,39,19,72,36,16,70,39,19,72,40,20,72,40,19,72,36,27,55,33,16,66,39,18,71,35,18,68,24,11,49,33,28,67,"GOLDEN RULE CHARTER SCHOOL",42,22,74,29,10,64,29,21,43
"'057836",.,.,.,38,25,69,.,.,.,.,.,.,36,16,76,35,15,76,36,15,76,39,18,76,62,31,92,.,.,.,.,.,.,33,14,77,26,8,64,17,6,46,.,.,.,"ST ANTHONY SCHOOL",37,16,78,35,16,73,29,29,57
"'057839",33,13,67,-1,-1,-1,-1,-1,-1,.,.,.,36,16,70,-1,-1,-1,34,16,69,35,14,72,36,16,70,-1,-1,-1,31,12,66,37,18,68,29,11,65,23,10,40,0,0,60,"LA ACADEMIA DE ESTRELLAS",37,17,72,30,14,61,43,29,57
"'057840",36,7,86,86,57,100,83,30,100,.,.,.,79,30,96,74,26,94,-1,-1,-1,74,25,96,76,22,95,.,.,.,27,9,82,87,40,97,47,13,87,.,.,.,80,37,94,"RICHLAND COLLEGIATE HIGH SCHOOL",.,.,.,79,30,96,.,.,.
"'057841",22,8,50,.,.,.,.,.,.,.,.,.,19,7,47,9,3,35,20,7,47,18,7,46,21,8,49,.,.,.,19,7,47,22,8,48,18,7,45,14,7,27,42,17,50,"CITYSCAPE SCHOOLS",21,7,49,18,8,44,38,13,50
"'057844",26,10,56,11,6,44,41,17,72,-1,-1,-1,36,15,64,34,12,63,32,13,63,37,16,67,-1,-1,-1,44,22,67,26,10,56,35,14,61,28,12,57,11,3,23,36,18,61,"MANARA ACADEMY",40,18,71,31,11,55,30,10,40
"'057845",42,17,79,60,33,87,57,37,83,.,.,.,57,28,85,48,22,79,46,19,80,57,27,85,49,21,82,36,0,73,40,16,79,56,29,85,38,13,76,33,12,63,75,43,94,"UME PREPARATORY ACADEMY",60,32,86,54,25,84,70,36,91
"'057846",22,7,55,53,26,76,-1,-1,-1,0,0,50,28,11,60,31,12,57,28,10,60,29,11,61,27,10,60,19,3,71,20,6,53,28,10,58,23,8,55,14,5,37,33,14,61,"LEGACY PREPARATORY",30,11,58,26,10,61,10,3,49
"'057847",33,8,64,36,15,74,69,0,94,.,.,.,33,11,66,23,7,55,29,9,60,35,13,66,38,13,71,.,.,.,25,4,58,32,10,65,17,4,52,17,4,43,48,20,78,"VILLAGE TECH SCHOOLS",37,13,69,30,9,63,24,12,56
"'057848",25,9,56,42,20,69,66,40,87,41,14,76,35,15,64,32,13,59,29,12,58,35,15,64,31,12,61,30,12,54,25,9,56,35,15,63,25,9,56,14,4,30,52,28,80,"INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)",39,17,67,30,12,59,25,11,53
"'057850",35,13,69,49,22,80,67,29,95,44,22,78,44,18,76,42,18,78,41,15,74,44,19,75,39,15,73,-1,-1,-1,31,11,66,45,18,77,31,10,67,21,7,49,53,24,80,"PIONEER TECHNOLOGY & ARTS ACADEMY",55,17,85,42,19,74,36,16,77
"'057851",20,0,40,.,.,.,.,.,.,.,.,.,27,6,50,22,3,44,33,33,56,24,12,52,20,0,40,.,.,.,20,0,40,30,0,48,20,0,40,26,0,39,67,33,100,"BRIDGEWAY PREPARATORY ACADEMY",0,0,33,31,7,52,0,0,20
"'057903",34,13,64,51,24,77,77,52,92,33,7,67,44,20,71,33,12,61,36,14,66,46,21,74,38,15,68,45,26,63,29,10,60,43,20,69,28,9,61,24,9,44,65,37,86,"CARROLLTON-FARMERS BRANCH ISD",47,22,74,36,16,63,47,26,77
"'057904",32,14,59,40,16,73,55,30,83,78,56,100,33,13,62,31,11,60,29,11,58,36,15,67,36,16,64,41,16,84,28,12,55,31,12,59,18,6,48,21,10,35,51,24,81,"CEDAR HILL ISD",37,15,65,28,10,58,18,7,42
"'057905",38,16,65,51,29,74,69,47,86,29,13,62,41,18,67,30,12,59,37,16,65,42,19,70,40,17,68,44,16,74,36,15,64,39,18,65,32,13,61,25,11,42,73,48,88,"DALLAS ISD",42,19,69,35,15,62,35,16,61
"'057906",30,11,60,43,18,69,38,22,66,.,.,.,32,12,61,31,11,60,29,10,58,34,12,64,33,12,63,47,13,63,29,11,59,30,11,58,22,7,52,24,9,40,33,16,56,"DESOTO ISD",34,13,63,27,9,56,10,2,27
"'057907",32,12,63,46,23,72,64,32,85,-1,-1,-1,36,13,65,31,10,60,33,11,63,38,13,68,38,14,68,20,7,50,26,9,58,33,12,63,27,8,59,19,7,34,53,22,77,"DUNCANVILLE ISD",38,14,67,31,11,62,27,11,56
"'057909",37,16,66,54,26,79,70,42,89,59,30,81,44,20,71,36,15,64,38,16,67,45,21,73,38,15,67,39,16,74,33,14,63,43,20,69,31,12,61,22,8,40,59,32,83,"GARLAND ISD",46,22,73,35,15,63,37,18,65
"'057910",34,14,64,51,26,77,73,46,90,45,21,76,41,17,68,40,16,66,36,14,65,42,17,70,38,15,67,34,15,63,33,13,63,39,18,66,30,11,60,21,7,40,53,27,76,"GRAND PRAIRIE ISD",42,18,70,37,15,64,39,21,63
"'057911",67,45,90,85,60,97,92,75,99,57,50,93,82,51,96,58,28,83,50,13,87,82,52,96,78,44,94,73,33,94,67,46,92,82,51,96,47,15,82,59,30,83,82,49,96,"HIGHLAND PARK ISD",83,53,97,76,44,95,86,51,99
"'057912",26,10,57,36,14,66,66,33,86,34,9,61,33,12,63,31,12,60,32,12,62,34,13,65,32,11,63,28,9,63,22,7,52,33,12,62,24,8,56,18,6,34,43,19,71,"IRVING ISD",35,13,66,27,10,54,27,11,58
"'057913",39,17,68,37,21,65,81,52,100,50,30,70,35,13,67,33,11,66,32,12,65,38,14,70,39,17,70,44,17,73,34,14,65,32,12,64,27,9,60,19,9,36,47,12,71,"LANCASTER ISD",38,15,70,30,10,63,14,3,38
"'057914",40,18,69,45,20,72,67,39,87,41,19,67,42,18,70,33,12,63,40,16,68,44,18,74,43,18,72,45,23,72,33,13,65,40,17,67,33,12,64,21,7,41,53,26,78,"MESQUITE ISD",45,20,73,34,13,63,34,14,65
"'057916",24,9,53,60,36,80,59,34,81,35,15,67,50,26,73,37,16,64,35,14,63,51,27,75,35,14,63,46,18,73,22,8,52,48,25,71,26,8,56,24,10,44,76,47,91,"RICHARDSON ISD",54,29,77,36,17,61,55,32,80
"'057919",51,22,84,65,34,87,80,48,96,-1,-1,-1,68,36,89,53,27,75,41,16,72,70,37,91,52,20,82,75,25,100,43,15,78,66,35,88,33,10,72,32,11,57,70,37,91,"SUNNYVALE ISD",70,38,91,60,30,85,72,42,93
"'057922",66,41,85,71,43,90,89,67,97,92,38,100,78,53,92,52,21,80,48,22,75,79,54,93,55,28,79,80,49,94,51,25,75,77,52,91,46,20,75,39,17,64,73,42,92,"COPPELL ISD",80,54,93,73,48,90,65,37,90
"'058902",3,0,38,20,0,90,.,.,.,.,.,.,22,9,57,.,.,.,19,7,54,20,9,53,17,6,55,.,.,.,3,0,38,25,9,60,9,5,44,5,5,24,38,20,56,"DAWSON ISD",24,10,57,19,7,56,20,10,50
"'058905",50,33,79,83,67,100,.,.,.,.,.,.,78,50,94,.,.,.,67,43,87,75,47,93,71,41,90,.,.,.,37,21,74,83,54,95,36,17,78,36,11,75,84,56,96,"KLONDIKE ISD",80,53,95,73,38,88,83,83,100
"'058906",28,10,52,45,9,73,69,23,92,.,.,.,26,9,54,31,6,55,23,7,52,26,9,56,24,8,53,-1,-1,-1,20,7,45,25,9,52,15,4,41,13,5,23,34,17,59,"LAMESA ISD",26,9,54,24,9,54,11,9,48
"'058909",57,28,91,-1,-1,-1,-1,-1,-1,.,.,.,61,27,90,.,.,.,54,24,89,61,25,92,58,20,88,67,17,100,43,12,88,61,29,89,41,12,81,37,16,63,64,34,92,"SANDS CISD",62,29,90,57,19,90,-1,-1,-1
"'059901",32,14,63,33,33,83,.,.,.,-1,-1,-1,36,14,68,56,22,67,33,13,66,38,13,70,41,10,74,-1,-1,-1,31,13,61,35,14,65,25,8,58,22,8,41,65,23,82,"HEREFORD ISD",37,14,69,31,12,62,20,7,54
"'059902",43,14,79,.,.,.,.,.,.,.,.,.,59,24,90,.,.,.,49,20,88,53,23,89,59,24,90,.,.,.,43,14,79,65,25,90,42,12,81,50,17,81,.,.,.,"WALCOTT ISD",58,23,90,64,28,89,89,33,100
"'060902",50,17,73,37,12,67,-1,-1,-1,.,.,.,42,16,71,24,11,52,36,12,65,42,18,72,37,15,62,32,0,79,52,13,65,41,15,69,17,5,49,32,10,51,46,18,75,"COOPER ISD",45,18,72,37,12,67,25,8,63
"'060914",45,15,50,11,0,44,.,.,.,.,.,.,24,7,51,10,3,32,23,7,50,25,11,54,31,10,60,-1,-1,-1,45,15,50,23,2,47,15,5,38,11,2,28,33,12,63,"FANNINDEL ISD",22,8,49,26,7,54,-1,-1,-1
"'061802",19,9,47,23,0,62,62,62,92,.,.,.,34,18,62,35,21,70,33,18,62,34,18,63,25,10,52,-1,-1,-1,19,8,46,34,18,62,33,16,60,17,8,38,58,36,82,"NORTH TEXAS COLLEGIATE ACADEMY",31,12,61,36,21,63,57,14,100
"'061804",39,17,73,50,31,86,73,44,93,.,.,.,51,25,81,40,17,69,46,13,74,52,25,81,44,20,78,57,36,100,30,7,64,51,25,80,27,6,65,24,8,52,43,16,77,"LEADERSHIP PREP SCHOOL",57,29,84,44,21,77,36,17,72
"'061805",35,12,75,57,31,82,73,47,93,82,45,100,60,36,85,34,17,58,37,0,77,61,36,85,49,28,76,.,.,.,22,7,69,60,36,85,16,4,57,38,19,68,65,39,91,"TRIVIUM ACADEMY",66,41,89,52,28,79,50,42,77
"'061901",32,13,62,50,25,83,71,42,89,47,19,73,46,22,73,30,11,59,32,12,61,47,22,74,38,15,67,46,18,72,27,10,58,45,21,71,26,9,57,22,8,42,61,32,84,"DENTON ISD",50,24,76,38,17,65,45,22,75
"'061902",38,16,67,62,37,83,79,55,93,60,23,85,60,34,82,38,15,68,39,16,68,61,34,84,44,20,72,62,36,84,31,11,62,59,33,81,37,15,68,31,13,56,72,42,91,"LEWISVILLE ISD",62,35,84,53,28,77,67,40,90
"'061903",31,10,64,57,29,80,-1,-1,-1,.,.,.,46,21,75,27,22,51,37,16,68,48,22,77,37,15,69,60,10,80,27,9,61,45,20,73,27,9,60,28,13,46,56,27,82,"PILOT POINT ISD",47,20,76,45,21,71,41,14,76
"'061905",29,10,60,56,26,85,81,44,91,-1,-1,-1,49,22,76,30,15,64,39,17,69,49,21,76,38,14,67,47,0,63,23,7,56,50,23,76,28,8,62,15,5,40,56,26,81,"KRUM ISD",52,23,78,45,19,74,52,27,94
"'061906",32,13,64,40,21,74,88,63,100,.,.,.,52,23,80,38,4,85,39,15,73,50,22,81,42,17,72,53,27,87,24,8,58,54,24,80,26,7,63,25,10,48,58,27,85,"PONDER ISD",54,25,83,46,19,72,50,32,87
"'061907",41,15,73,55,28,84,61,35,74,83,67,100,54,24,81,33,14,63,40,14,69,55,25,83,48,18,77,13,0,80,37,15,70,52,23,79,31,12,63,20,6,46,61,28,86,"AUBREY ISD",60,27,85,47,21,76,51,27,75
"'061908",32,11,68,57,25,83,81,52,86,100,60,100,52,23,80,37,12,68,41,15,72,54,24,82,41,16,74,63,38,88,21,4,57,50,23,78,28,7,63,22,7,44,58,27,84,"SANGER ISD",55,24,82,46,21,76,69,27,89
"'061910",52,26,77,78,48,95,87,54,98,43,29,71,76,45,93,63,35,83,50,24,79,76,44,94,65,35,86,83,52,86,40,15,69,77,46,93,46,17,80,43,19,69,78,47,95,"ARGYLE ISD",78,46,94,75,44,93,80,52,97
"'061911",40,18,70,50,25,78,72,46,91,57,33,84,57,29,82,44,19,72,39,16,68,58,30,83,49,22,76,58,35,79,32,13,63,57,29,81,29,10,62,22,7,46,63,33,86,"NORTHWEST ISD",61,32,85,50,24,77,61,33,86
"'061912",25,8,59,45,16,74,64,41,84,.,.,.,45,19,76,32,10,65,33,12,67,47,21,78,37,14,70,51,23,69,17,4,52,44,18,74,24,7,59,20,6,44,53,24,82,"LAKE DALLAS ISD",47,20,77,42,17,73,42,18,80
"'061914",27,10,57,53,30,82,70,46,89,50,28,89,43,20,72,33,13,64,31,12,61,44,21,73,35,14,65,60,23,81,18,6,49,42,20,71,23,7,56,18,7,39,54,27,81,"LITTLE ELM ISD",47,22,75,35,15,65,43,21,75
"'062901",32,12,73,56,19,78,47,40,73,.,.,.,47,19,75,34,8,64,37,13,67,47,19,76,40,15,72,-1,-1,-1,29,13,69,46,20,75,26,7,61,19,7,37,57,26,82,"CUERO ISD",48,19,76,44,19,73,24,4,72
"'062902",.,.,.,-1,-1,-1,.,.,.,.,.,.,45,25,74,-1,-1,-1,35,15,63,49,25,78,31,15,67,.,.,.,.,.,.,42,24,70,17,8,52,9,9,27,56,33,78,"NORDHEIM ISD",46,24,75,43,26,69,-1,-1,-1
"'062903",46,19,77,48,27,77,-1,-1,-1,.,.,.,52,23,80,37,14,65,48,20,78,52,24,84,49,19,80,-1,-1,-1,40,14,74,51,23,77,37,13,68,27,9,52,62,35,85,"YOAKUM ISD",50,23,79,56,25,83,44,24,68
"'062904",20,0,47,55,18,73,.,.,.,.,.,.,35,13,67,20,5,50,28,9,59,37,14,72,26,8,59,60,0,60,20,0,47,34,12,63,17,4,54,7,1,35,45,18,76,"YORKTOWN ISD",37,14,68,31,8,63,20,0,100
"'062905",-1,-1,-1,.,.,.,.,.,.,.,.,.,71,36,89,-1,-1,-1,64,28,88,65,37,86,67,33,90,.,.,.,-1,-1,-1,78,35,93,86,29,100,-1,-1,-1,75,39,88,"WESTHOFF ISD",70,43,89,73,18,91,.,.,.
"'062906",.,.,.,.,.,.,.,.,.,.,.,.,63,38,90,-1,-1,-1,45,18,80,58,37,92,58,23,85,.,.,.,.,.,.,68,39,89,58,33,83,27,20,60,66,42,93,"MEYERSVILLE ISD",60,36,88,69,42,95,0,0,33
"'063903",-1,-1,-1,46,18,75,.,.,.,.,.,.,49,23,77,-1,-1,-1,42,18,74,55,23,81,38,20,71,.,.,.,-1,-1,-1,44,23,74,25,8,61,22,10,47,57,26,82,"SPUR ISD",50,24,77,48,20,77,50,21,71
"'063906",25,0,50,.,.,.,.,.,.,.,.,.,55,23,84,-1,-1,-1,50,19,82,44,7,76,50,23,82,.,.,.,25,0,50,65,36,91,38,14,57,36,11,57,58,23,85,"PATTON SPRINGS ISD",63,30,91,47,16,77,25,0,100
"'064903",22,7,56,69,23,92,-1,-1,-1,.,.,.,36,13,66,53,18,88,32,11,61,35,12,67,35,13,65,-1,-1,-1,22,7,55,36,14,65,23,7,56,25,7,42,45,23,71,"CARRIZO SPRINGS CISD",35,13,66,38,12,66,43,19,62
"'065901",.,.,.,44,33,86,.,.,.,.,.,.,57,27,83,18,0,47,45,19,75,57,28,82,59,29,89,-1,-1,-1,.,.,.,59,27,85,30,6,65,24,13,50,62,29,85,"CLARENDON ISD",59,28,85,52,24,75,38,13,88
"'065902",40,20,60,33,33,83,.,.,.,.,.,.,52,22,81,.,.,.,51,22,79,53,22,80,38,10,68,.,.,.,40,20,60,52,22,82,41,19,85,28,20,63,59,26,86,"HEDLEY ISD",58,22,85,47,21,77,-1,-1,-1
"'066005",45,36,73,.,.,.,.,.,.,.,.,.,32,16,55,.,.,.,32,16,55,25,13,75,32,16,55,.,.,.,45,36,73,35,17,48,28,14,52,29,0,43,.,.,.,"RAMIREZ CSD",38,19,62,0,0,20,.,.,.
"'066901",24,0,62,.,.,.,.,.,.,.,.,.,33,10,66,.,.,.,30,9,63,27,10,69,33,10,66,.,.,.,27,0,67,38,10,63,19,4,49,30,7,38,-1,-1,-1,"BENAVIDES ISD",33,10,67,35,10,60,0,0,60
"'066902",18,3,67,-1,-1,-1,-1,-1,-1,.,.,.,37,15,65,.,.,.,35,14,63,37,15,67,36,15,65,.,.,.,16,3,66,37,15,64,18,4,50,16,4,34,71,39,97,"SAN DIEGO ISD",36,15,64,41,18,72,40,20,40
"'066903",20,6,47,-1,-1,-1,.,.,.,.,.,.,35,12,69,20,20,80,29,9,64,39,13,76,34,11,68,-1,-1,-1,20,6,47,32,11,62,19,4,47,22,7,50,60,28,84,"FREER ISD",37,13,70,28,9,62,22,13,48
"'067902",50,17,83,83,33,100,80,80,100,.,.,.,62,32,87,20,0,50,51,21,82,64,32,90,59,23,82,22,11,89,50,17,83,59,32,85,42,14,75,28,11,52,63,34,88,"CISCO ISD",65,34,89,52,26,80,38,25,81
"'067903",25,8,63,42,8,71,67,39,83,-1,-1,-1,49,19,80,0,0,50,40,13,74,50,17,82,39,11,74,.,.,.,23,6,62,49,20,78,27,7,65,22,5,43,54,23,84,"EASTLAND ISD",53,20,81,38,14,77,45,25,85
"'067904",38,8,65,50,13,88,.,.,.,.,.,.,47,21,73,-1,-1,-1,38,16,63,53,25,81,49,17,76,.,.,.,38,8,65,42,17,66,25,6,56,15,5,20,46,23,71,"GORMAN ISD",44,20,74,56,24,72,42,21,83
"'067907",19,10,33,29,0,43,.,.,.,.,.,.,32,11,62,33,27,33,30,10,60,31,11,64,32,8,60,-1,-1,-1,6,0,22,33,11,61,21,5,52,30,15,44,33,12,65,"RANGER ISD",31,10,64,34,13,60,29,17,63
"'067908",17,13,70,-1,-1,-1,-1,-1,-1,.,.,.,31,12,61,-1,-1,-1,22,6,49,34,15,64,28,11,72,.,.,.,0,0,50,26,8,57,13,3,44,2,2,18,32,12,59,"RISING STAR ISD",38,16,71,22,8,48,-1,-1,-1
"'068802",29,14,71,41,21,72,80,70,100,.,.,.,49,22,81,29,14,67,42,15,75,51,22,82,44,19,77,43,14,100,18,9,64,47,23,79,16,5,64,16,8,46,52,24,84,"COMPASS ACADEMY CHARTER SCHOOL",48,22,81,51,23,80,55,20,88
"'068803",45,21,90,64,39,92,100,88,100,-1,-1,-1,51,25,83,67,67,83,54,25,82,46,22,81,46,20,83,40,20,60,40,17,89,55,28,85,31,10,72,28,10,57,56,28,83,"UTPB STEM ACADEMY",49,24,81,55,27,86,41,12,71
"'068901",25,10,53,42,19,65,71,47,86,24,10,57,33,13,61,26,9,53,28,11,57,33,13,63,31,12,60,38,14,70,23,9,52,32,13,59,23,7,53,22,8,39,43,20,70,"ECTOR COUNTY ISD",33,13,61,33,13,59,20,10,43
"'069901",30,9,48,.,.,.,.,.,.,.,.,.,27,9,59,.,.,.,20,5,51,37,13,67,21,5,53,.,.,.,32,9,50,20,6,52,15,3,40,20,5,40,49,23,82,"ROCKSPRINGS ISD",25,9,56,39,11,80,13,13,25
"'069902",57,29,100,-1,-1,-1,.,.,.,.,.,.,54,25,80,.,.,.,49,21,76,55,23,84,42,18,76,-1,-1,-1,57,29,100,53,26,78,34,15,64,28,17,41,62,29,84,"NUECES CANYON CISD",52,23,81,60,29,79,62,62,77
"'070801",17,5,46,22,17,48,22,7,56,.,.,.,19,6,47,18,5,43,19,6,47,20,7,49,18,6,48,50,0,63,16,5,45,18,5,45,15,5,44,5,1,15,32,12,63,"WAXAHACHIE FAITH FAMILY ACADEMY",18,6,46,19,6,48,16,9,30
"'070901",20,0,55,-1,-1,-1,-1,-1,-1,.,.,.,35,10,67,-1,-1,-1,25,6,60,36,10,68,32,4,64,.,.,.,11,0,50,34,10,66,13,1,51,10,0,49,38,15,69,"AVALON ISD",37,10,69,28,9,60,17,17,42
"'070903",31,13,63,46,18,74,56,31,85,31,10,64,43,19,72,25,9,55,44,19,73,45,19,75,41,17,71,20,10,60,21,8,53,41,18,69,21,7,55,22,9,42,57,28,83,"ENNIS ISD",44,19,73,39,17,67,49,21,75
"'070905",32,10,66,42,11,73,54,8,85,86,14,100,39,15,72,36,12,75,37,13,70,41,16,74,39,15,71,75,50,88,27,8,63,38,14,71,29,9,65,16,3,39,43,18,76,"FERRIS ISD",40,16,74,36,14,68,45,13,82
"'070907",29,9,60,39,17,65,.,.,.,-1,-1,-1,37,14,67,16,4,48,29,9,60,41,14,75,33,12,66,-1,-1,-1,27,9,58,34,14,61,23,7,55,17,5,36,45,17,73,"ITALY ISD",37,11,70,38,18,64,33,17,56
"'070908",35,16,67,52,24,80,70,37,81,80,60,100,55,26,81,45,18,73,39,16,70,55,27,83,46,21,76,45,13,77,31,13,63,54,26,80,27,9,62,24,8,49,60,30,85,"MIDLOTHIAN ISD",56,27,83,51,24,78,54,25,83
"'070909",12,4,59,32,23,52,.,.,.,.,.,.,28,12,59,23,11,56,23,8,55,35,18,68,27,9,63,.,.,.,11,5,58,22,9,52,16,6,51,9,4,27,30,15,57,"MILFORD ISD",29,13,60,24,10,56,17,9,65
"'070910",38,15,69,57,22,87,43,0,57,.,.,.,58,27,84,69,34,89,47,19,78,61,26,87,51,23,79,60,0,80,37,14,68,55,27,82,32,10,68,28,8,58,63,30,89,"PALMER ISD",61,29,86,49,21,80,67,36,93
"'070911",31,12,63,59,31,83,49,35,75,.,.,.,45,20,73,39,15,68,37,15,66,48,22,75,43,18,72,63,32,84,31,12,62,43,19,70,28,9,59,20,6,40,56,29,79,"RED OAK ISD",50,23,76,38,16,67,42,19,74
"'070912",34,13,65,50,25,79,88,49,96,65,39,94,48,22,76,36,13,68,36,14,67,49,22,78,43,19,72,34,14,66,26,10,59,48,22,75,26,8,60,21,7,45,57,28,83,"WAXAHACHIE ISD",50,23,77,45,20,75,53,30,83
"'070915",33,14,64,49,21,87,-1,-1,-1,-1,-1,-1,49,21,77,40,27,73,34,13,66,51,20,79,44,18,70,-1,-1,-1,30,11,62,48,21,76,24,8,58,22,9,41,51,22,79,"MAYPEARL ISD",49,20,76,50,22,79,43,26,74
"'071801",41,16,74,67,45,97,-1,-1,-1,.,.,.,50,22,80,85,70,90,46,19,77,47,21,79,49,21,79,-1,-1,-1,37,13,72,52,23,80,39,14,74,26,10,56,57,24,82,"BURNHAM WOOD CHARTER SCHOOL DISTRICT",59,28,86,45,19,77,36,18,69
"'071803",26,3,63,.,.,.,.,.,.,.,.,.,51,8,80,.,.,.,52,10,80,49,9,76,49,9,78,.,.,.,26,3,63,50,11,80,52,9,80,29,0,50,-1,-1,-1,"TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO",50,0,67,51,8,80,33,0,83
"'071804",21,4,71,-1,-1,-1,-1,-1,-1,.,.,.,52,14,85,.,.,.,47,11,83,43,7,81,50,13,84,.,.,.,17,1,69,58,19,88,51,14,84,25,6,72,80,30,100,"EL PASO ACADEMY",-1,-1,-1,52,14,85,60,20,90
"'071806",43,18,74,57,24,88,72,43,96,.,.,.,50,23,78,45,20,72,45,20,75,48,23,78,49,23,78,62,23,62,37,14,70,51,24,78,41,17,72,22,8,47,54,29,82,"HARMONY PUBLIC SCHOOLS - WEST TEXAS",52,25,80,47,22,76,44,23,72
"'071807",41,23,70,.,.,.,.,.,.,.,.,.,44,26,72,.,.,.,43,24,72,49,25,72,43,24,72,.,.,.,41,23,70,39,26,72,40,23,69,14,7,43,-1,-1,-1,"LA FE PREPARATORY SCHOOL",52,34,72,32,13,73,-1,-1,-1
"'071809",31,17,59,-1,-1,-1,-1,-1,-1,.,.,.,45,26,73,91,82,100,40,24,73,53,32,82,44,24,73,-1,-1,-1,30,16,58,38,22,66,29,16,59,28,6,56,46,29,82,"VISTA DEL FUTURO CHARTER SCHOOL",55,32,86,34,20,60,33,33,50
"'071810",12,3,45,17,0,83,.,.,.,.,.,.,19,7,54,88,50,100,17,6,51,22,8,56,18,6,53,.,.,.,12,3,45,17,6,53,13,4,48,11,0,43,18,0,55,"EL PASO LEADERSHIP ACADEMY",11,5,53,20,7,54,7,0,47
"'071901",22,7,53,29,9,59,92,75,100,0,0,0,35,14,66,44,13,72,33,12,64,36,14,68,35,14,66,22,11,56,21,7,52,34,14,63,23,7,56,16,5,37,35,15,65,"CLINT ISD",36,14,67,31,11,60,25,12,57
"'071902",29,11,60,59,32,85,80,51,94,51,21,77,44,19,72,45,20,74,36,14,66,44,19,73,41,17,70,34,16,65,27,10,58,43,19,71,31,10,63,19,6,41,62,33,84,"EL PASO ISD",44,19,72,43,19,71,42,19,72
"'071903",24,8,56,.,.,.,.,.,.,.,.,.,31,11,62,.,.,.,29,10,60,33,10,64,31,11,62,.,.,.,20,7,52,29,12,60,22,7,55,14,6,39,50,20,80,"FABENS ISD",33,12,64,21,7,52,22,7,63
"'071904",25,8,56,.,.,.,.,.,.,.,.,.,33,11,64,56,0,56,32,10,63,35,11,66,33,11,64,.,.,.,23,7,54,31,11,61,26,7,59,18,6,36,64,45,82,"SAN ELIZARIO ISD",34,11,65,28,10,59,34,7,68
"'071905",37,16,69,59,26,86,74,41,90,44,24,71,47,21,76,42,18,73,43,18,73,48,21,78,47,21,76,43,17,78,32,12,65,47,21,75,37,14,70,29,13,54,58,28,83,"YSLETA ISD",49,22,78,41,18,70,44,21,73
"'071906",36,13,69,50,25,75,.,.,.,.,.,.,41,15,75,17,17,50,39,13,71,42,14,74,41,15,75,.,.,.,35,13,69,41,16,76,35,10,69,29,12,51,40,25,65,"ANTHONY ISD",42,15,77,38,15,68,50,23,69
"'071907",37,16,67,59,32,85,67,57,90,88,38,100,48,22,76,55,27,87,40,16,70,47,22,77,47,21,75,70,10,90,33,13,65,48,22,75,38,15,70,23,6,43,59,34,86,"CANUTILLO ISD",48,22,76,47,21,75,41,15,72
"'071908",22,8,53,.,.,.,.,.,.,.,.,.,27,9,59,.,.,.,27,9,58,28,9,61,28,9,59,.,.,.,17,5,47,27,8,57,20,6,53,14,0,29,-1,-1,-1,"TORNILLO ISD",28,9,61,22,7,51,40,7,73
"'071909",33,13,67,59,30,86,70,40,91,61,37,81,46,20,77,48,21,77,42,17,74,47,20,78,45,19,76,44,19,71,29,11,64,45,19,75,31,10,66,23,8,48,57,30,83,"SOCORRO ISD",48,20,78,42,18,73,44,20,78
"'072801",23,5,60,58,18,80,61,21,85,0,0,60,41,10,70,35,5,65,40,9,71,42,10,72,39,9,70,54,0,54,21,4,58,40,11,67,41,10,70,18,4,42,46,14,71,"PREMIER HIGH SCHOOLS",38,8,70,41,10,70,36,11,57
