DISTRICT,DD000A001222R,DD000A001322R,DD000A001S22R,DD200A001222R,DD200A001322R,DD200A001S22R,DD300A001222R,DD300A001322R,DD300A001S22R,DD400A001222R,DD400A001322R,DD400A001S22R,DDA00A001222R,DDA00A001322R,DDA00A001S22R,DDB00A001222R,DDB00A001322R,DDB00A001S22R,DDE00A001222R,DDE00A001322R,DDE00A001S22R,DDF00A001222R,DDF00A001322R,DDF00A001S22R,DDH00A001222R,DDH00A001322R,DDH00A001S22R,DDI00A001222R,DDI00A001322R,DDI00A001S22R,DDL00A001222R,DDL00A001322R,DDL00A001S22R,DDM00A001222R,DDM00A001322R,DDM00A001S22R,DDR00A001222R,DDR00A001322R,DDR00A001S22R,DDS00A001222R,DDS00A001322R,DDS00A001S22R,DDW00A001222R,DDW00A001322R,DDW00A001S22R,DISTNAME,DNC00A001222R,DNC00A001322R,DNC00A001S22R,DNM00A001222R,DNM00A001322R,DNM00A001S22R,DNS00A001222R,DNS00A001322R,DNS00A001S22R
"'014903",23,7,55,54,25,79,74,51,91,43,17,74,49,22,75,34,14,61,34,13,63,50,23,77,39,15,68,40,18,77,17,5,48,48,22,74,31,9,62,27,12,49,56,27,81,"BELTON ISD",50,23,77,45,21,72,49,22,76
"'014905",26,11,63,38,17,79,.,.,.,.,.,.,63,31,88,30,10,60,50,22,80,61,32,87,62,21,85,.,.,.,26,11,63,65,30,89,37,10,74,21,4,56,66,36,90,"HOLLAND ISD",65,31,90,58,32,84,60,0,90
"'014906",34,14,64,46,20,76,66,39,87,41,16,71,40,17,70,32,11,62,34,13,64,42,17,72,41,16,70,37,13,66,30,12,61,39,16,68,28,9,60,24,9,44,51,25,78,"KILLEEN ISD",41,17,71,38,16,67,37,16,70
"'014907",34,6,65,54,33,96,33,17,67,.,.,.,51,24,81,25,8,50,40,14,72,52,25,81,40,13,72,0,0,40,26,5,53,51,23,81,27,7,67,16,5,45,57,30,85,"ROGERS ISD",52,26,80,51,20,83,40,20,66
"'014908",16,8,44,50,24,83,63,26,89,45,18,82,53,25,80,41,15,76,35,15,64,55,26,83,38,15,68,0,0,50,10,3,36,50,24,78,17,4,53,21,5,38,58,29,85,"SALADO ISD",53,25,82,51,26,78,56,42,77
"'014909",24,10,55,41,22,69,63,44,88,72,39,89,38,17,66,28,12,58,34,15,63,38,18,68,36,15,66,46,18,82,23,10,54,37,17,66,23,8,55,29,16,44,50,27,77,"TEMPLE ISD",38,17,67,38,17,65,15,6,35
"'014910",38,14,72,47,19,72,100,86,100,69,31,85,54,24,82,42,15,69,42,18,72,55,24,83,47,20,78,88,13,88,32,9,69,53,24,81,31,9,67,23,10,50,57,27,84,"TROY ISD",56,24,83,49,24,79,63,27,92
"'015801",.,.,.,-1,-1,-1,.,.,.,.,.,.,29,8,61,20,0,20,27,6,61,34,11,66,28,8,61,.,.,.,.,.,.,24,6,58,28,9,61,0,0,22,44,33,78,"POR VIDA ACADEMY",.,.,.,29,8,61,40,0,80
"'015802",25,9,54,33,17,50,-1,-1,-1,.,.,.,20,8,45,14,4,38,22,9,48,24,10,52,27,13,54,33,33,50,25,9,54,16,7,39,18,7,44,10,3,24,55,18,82,"GEORGE GERVIN ACADEMY",24,10,48,16,6,42,0,0,17
"'015805",61,6,91,.,.,.,.,.,.,.,.,.,63,16,90,-1,-1,-1,62,15,90,58,14,91,60,14,89,.,.,.,55,5,86,66,18,89,56,9,87,25,0,50,100,50,100,"NEW FRONTIERS PUBLIC SCHOOLS INC",69,17,97,60,16,86,60,40,100
"'015806",14,3,40,.,.,.,-1,-1,-1,.,.,.,19,6,48,18,6,46,20,5,47,19,7,44,20,6,48,.,.,.,11,2,37,20,5,51,15,3,43,0,0,5,11,0,42,"LEGACY TRADITIONAL SCHOOLS - TEXAS",23,7,48,13,3,47,7,0,50
"'015807",25,9,56,52,43,70,-1,-1,-1,.,.,.,25,10,54,19,6,48,22,9,50,25,10,52,23,8,52,.,.,.,23,8,55,26,10,56,19,6,49,11,4,37,43,21,67,"SOUTHWEST PREPARATORY SCHOOL",26,10,56,25,10,52,19,0,57
"'015808",43,14,71,45,27,64,-1,-1,-1,-1,-1,-1,34,16,64,27,18,55,32,15,58,32,15,61,31,14,62,.,.,.,43,14,71,37,16,67,16,3,52,24,17,46,40,19,69,"INSPIRE ACADEMIES",38,17,62,33,15,65,39,22,72
"'015809",19,9,42,.,.,.,.,.,.,.,.,.,15,6,38,-1,-1,-1,15,6,38,20,9,43,14,5,38,.,.,.,10,3,26,7,1,31,11,4,34,4,2,22,25,13,50,"BEXAR COUNTY ACADEMY",15,6,42,14,5,33,-1,-1,-1
"'015814",0,0,40,.,.,.,.,.,.,.,.,.,20,2,53,-1,-1,-1,21,2,55,24,5,60,19,2,53,.,.,.,0,0,40,18,0,49,20,2,54,6,0,32,38,0,63,"POSITIVE SOLUTIONS CHARTER SCHOOL",-1,-1,-1,20,2,53,-1,-1,-1
"'015815",35,14,68,46,38,62,-1,-1,-1,.,.,.,43,20,72,44,25,78,39,18,71,40,21,73,41,18,71,-1,-1,-1,35,13,67,46,19,72,35,14,67,39,15,63,58,30,81,"HERITAGE ACADEMY",48,24,76,40,18,71,60,20,100
"'015822",28,11,58,33,19,57,67,44,73,.,.,.,28,11,56,25,11,51,25,10,54,27,11,57,27,11,56,27,13,57,25,10,55,28,12,56,20,7,49,12,5,29,32,15,64,"JUBILEE ACADEMIES",30,12,59,24,10,52,19,7,45
"'015825",16,5,40,-1,-1,-1,-1,-1,-1,.,.,.,19,8,44,29,13,71,18,7,43,25,11,51,18,7,43,.,.,.,14,4,39,13,5,37,15,5,38,4,0,15,18,12,24,"LIGHTHOUSE PUBLIC SCHOOLS",22,9,45,16,6,43,0,0,50
"'015827",37,15,66,62,36,83,76,43,89,100,83,100,47,24,75,42,20,70,40,18,70,45,23,74,44,20,73,56,33,78,32,11,62,48,24,75,34,14,65,21,8,47,59,34,86,"SCHOOL OF SCIENCE AND TECHNOLOGY",51,24,79,45,24,74,30,11,56
"'015828",32,12,64,40,16,62,66,50,90,.,.,.,40,17,70,42,19,67,38,17,68,41,18,72,40,16,70,25,13,38,28,10,60,40,16,69,29,11,61,19,7,37,50,28,75,"HARMONY PUBLIC SCHOOLS - SOUTH TEXAS",42,17,72,38,17,68,18,8,56
"'015830",24,10,55,27,13,71,63,34,83,67,33,100,34,13,64,32,11,65,29,11,60,35,14,66,32,12,63,46,31,85,24,10,55,33,13,62,24,7,55,18,6,39,47,23,76,"BROOKS ACADEMIES OF TEXAS",35,13,64,32,13,64,23,14,55
"'015831",50,26,81,55,28,86,70,49,88,.,.,.,49,26,78,57,32,82,45,22,75,48,26,77,42,20,73,50,25,83,45,22,77,51,26,79,42,20,76,24,8,49,58,31,86,"SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY",47,23,78,51,28,78,27,13,66
"'015833",.,.,.,60,20,100,-1,-1,-1,.,.,.,49,5,77,25,0,50,34,4,66,51,5,77,53,5,79,.,.,.,.,.,.,43,5,81,34,3,65,10,10,50,33,0,75,"HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN",-1,-1,-1,51,5,78,.,.,.
"'015834",76,50,94,79,53,91,88,68,98,-1,-1,-1,82,57,95,78,43,95,68,32,90,81,56,95,73,42,92,89,56,89,72,44,92,82,58,95,64,36,87,60,39,72,80,55,95,"BASIS TEXAS",83,57,95,80,57,95,64,41,86
"'015835",41,19,76,51,27,84,70,43,93,.,.,.,57,30,85,40,17,70,42,18,76,56,29,85,47,21,80,78,50,94,37,16,72,58,31,86,39,15,75,28,12,55,66,37,90,"GREAT HEARTS TEXAS",64,35,89,52,27,82,54,31,79
"'015836",60,25,85,91,65,100,82,53,89,.,.,.,76,49,93,100,70,100,56,27,85,70,42,92,68,41,90,-1,-1,-1,55,16,84,82,58,95,52,26,84,39,17,62,82,57,97,"ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY",80,53,95,68,43,89,100,88,100
"'015838",17,6,42,29,7,36,53,33,73,33,0,67,25,9,52,23,9,43,24,9,51,25,9,53,25,9,52,0,0,25,16,5,42,26,9,51,18,6,45,31,13,46,38,14,66,"COMPASS ROSE PUBLIC SCHOOLS",48,12,84,24,9,51,15,5,38
"'015839",38,25,63,.,.,.,-1,-1,-1,.,.,.,26,16,49,-1,-1,-1,21,12,45,32,21,53,22,13,47,-1,-1,-1,38,25,63,21,13,46,17,9,39,31,13,63,38,25,50,"PROMESA ACADEMY CHARTER SCHOOL",.,.,.,26,16,49,.,.,.
"'015840",24,6,53,.,.,.,.,.,.,-1,-1,-1,24,8,55,21,7,53,26,8,59,27,11,60,23,10,56,.,.,.,24,6,53,20,6,51,18,6,49,14,3,30,67,11,78,"SAN ANTONIO PREPARATORY SCHOOLS",.,.,.,24,8,55,33,17,50
"'015841",-1,-1,-1,14,14,29,.,.,.,.,.,.,13,9,35,0,0,25,13,9,36,12,9,36,15,9,37,-1,-1,-1,-1,-1,-1,15,9,34,0,0,0,0,0,5,13,6,38,"THE GATHERING PLACE",.,.,.,13,9,35,20,10,40
"'015842",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROYAL PUBLIC SCHOOLS",.,.,.,.,.,.,.,.,.
"'015843",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRELUDE PREPARATORY CHARTER SCHOOL",.,.,.,.,.,.,.,.,.
"'015901",33,13,65,81,56,92,69,44,92,83,25,100,64,35,86,48,17,77,35,13,67,65,35,86,49,23,77,89,26,100,25,10,60,64,35,86,32,11,68,28,14,48,76,44,94,"ALAMO HEIGHTS ISD",66,36,87,60,33,83,62,31,88
"'015904",29,10,61,25,19,63,80,60,80,.,.,.,33,12,65,25,12,54,31,11,63,35,12,68,33,12,65,-1,-1,-1,21,7,54,32,12,63,26,8,60,19,8,36,42,13,68,"HARLANDALE ISD",35,13,67,28,9,59,23,9,59
"'015905",21,8,49,19,4,44,53,32,73,33,25,42,23,8,50,21,4,48,23,8,49,24,9,52,23,8,49,.,.,.,20,8,47,22,8,48,17,6,44,18,8,28,20,7,46,"EDGEWOOD ISD",24,8,51,21,8,46,12,4,34
"'015906",47,18,88,65,30,91,56,33,96,100,33,100,67,34,93,60,24,91,59,21,89,67,33,93,61,30,90,44,22,100,44,19,88,67,35,92,44,14,85,29,11,70,77,45,97,"RANDOLPH FIELD ISD",72,37,94,63,32,92,56,30,97
